{0: 0.001}
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1']
{8292: ('2015-01-01', '2016-01-01')}

logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
-2024.163,0.710,0.076,0.009,0.005,0.486,0.045,0.044,0.074,0.328,0.151,0.053,0.025,0.141,0.076,0.102,0.111,0.181,0.123

relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5
-0.0701684850685,0.0400660377794,-0.0582858360403,0.14676437252,-0.617682922684,-0.877792253873,0.715384241353,-5.89896947573,0.822823911304,0.918424082749,0.971506587133,0.986390383361,0.923762856266,0.958816384984,0.944631634842,0.93962151712
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
500,500,500,200,200,200
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8
0,853.92,40.36,2.498,1.283,1.108,1.147,1.372,1.151,1.203,1.166,1.198,0.899,0.835,0.852,0.893,0.852,0.872,0.857
25,-740.56,2.21,1.956,0.170,0.014,0.016,0.338,0.042,0.048,0.011,0.799,0.286,0.070,0.111,0.103,0.132,0.144,0.034
50,-1068.76,13.87,2.178,0.102,0.016,0.008,0.506,0.035,0.077,0.022,1.050,0.203,0.067,0.041,0.303,0.072,0.165,0.049
75,-530.95,18.17,1.405,0.130,0.014,0.009,0.349,0.032,0.085,0.023,0.740,0.266,0.062,0.031,0.118,0.083,0.237,0.091
100,-1009.10,3.51,1.066,0.091,0.012,0.007,0.370,0.030,0.056,0.019,0.710,0.240,0.056,0.028,0.137,0.049,0.110,0.063
125,-1333.34,6.77,1.032,0.135,0.013,0.020,0.441,0.091,0.044,0.119,0.474,0.223,0.060,0.073,0.218,0.148,0.072,0.239
150,-268.71,5.57,0.921,0.116,0.011,0.009,0.487,0.344,0.034,0.062,0.434,0.215,0.052,0.043,0.333,0.537,0.053,0.166
175,-2071.13,0.75,0.692,0.078,0.010,0.007,0.417,0.055,0.042,0.023,0.325,0.155,0.051,0.042,0.124,0.106,0.063,0.043
200,-2035.83,3.60,0.665,0.075,0.009,0.005,0.422,0.045,0.044,0.072,0.312,0.148,0.052,0.025,0.125,0.075,0.102,0.110
