{0:,0.0001,,100:,1e-05},,,,,,,,,
epoch,log,kl,nll_upper_bound,mse1,mae1,mse2,mae2,mse3,mae3,mse4,mae4,mse5,mae5
0,25224.597022,242746.873758,267971.47078,3.2233177665,1.2517940626,2.7277927396,1.2240561757,2.6766293506,1.1107081741,3.2002962242,0.9985788253,149125.387157,29.7075716035
3,3403.91614928,106243.625174,109647.541323,5.2329527006,1.0513502133,2.7988371214,1.0270852732,3.8024806474,1.0403645057,1.6841772686,0.4973313853,149398.168009,29.1640086322
6,3186.45013552,119354.289312,122540.739448,4.2696627232,1.0281671249,28.7963285731,1.3402033766,2.9381056654,0.9636426403,1.9404988876,0.5348641103,149144.13674,29.1438121885
9,3316.39185775,136261.261903,139577.653761,4.7599988193,1.0138792304,2.1394764793,0.9322482632,2.7372958498,0.9816421398,1.5562106722,0.4821589436,149482.544387,29.2169292715
12,3268.75042082,142714.805893,145983.556313,6.7704188985,1.1027965722,25.3792787511,1.3616390635,2.7789883147,0.9712837893,1.3693346659,0.4979574199,149606.308201,29.206201271
15,3578.32323649,168344.142634,171922.46587,6.4351906605,0.9874109879,17.5045153288,1.2049809926,3.3457682553,0.9905896219,1.9713388011,0.5160034023,149482.381589,29.2192203441
18,3161.92431931,285751.855141,288913.77946,7.2584022561,1.0053688215,29.1123527384,1.269978417,3.8359045548,1.0030287506,2.8589015624,0.5280583502,149786.677311,29.2888863693
20,2745.38464683,332141.546165,334886.930811,16.8837658685,1.1061490214,40.255785615,1.3138854556,22.361032487,1.1966280826,2.1539198796,0.4988353487,150044.110737,29.2927862473
