{0:,0.001,,100:,0.0001},,,,,,,,,,,
epoch,log,kl,nll_upper_bound,mse1,mae1,mse2,mae2,mse3,mae3,mse4,mae4,mse5,mae5,MSE,MAE
0,955.509346841,21.7762926345,977.285639475,2.9869,1.2578,3.0748,1.2784,2.1083,1.1489,1.5397,0.8687,1.5616,0.8813,2.254,1.087
10,-892.915459457,35.4460137176,-857.469445739,2.2664,0.6521,2.4386,0.742,1.9279,1.0039,0.4847,0.1208,0.49,0.0875,1.522,0.521
20,-1066.03167089,2.6776471221,-1063.35402376,2.3331,0.6655,2.3862,0.7077,1.7614,0.9426,0.593,0.1434,0.6408,0.3185,1.543,0.556
30,-935.655337252,2.0638955089,-933.591441743,2.4475,0.7233,2.7712,0.8155,1.8908,0.9725,0.6828,0.1551,0.5075,0.1038,1.660,0.554
40,-429.41818669,34.3687498631,-395.049436827,2.3923,0.9229,2.5497,0.7861,1.8773,0.9862,0.8345,0.388,0.5942,0.1191,1.650,0.640
50,-1278.89878786,1.4678610391,-1277.43092682,2.7361,0.7599,2.908,0.8159,1.7142,0.8891,0.6992,0.1411,0.6023,0.1245,1.732,0.546
60,-1608.80996729,0.6786914967,-1608.13127579,2.9378,0.8346,2.9818,0.823,1.7797,0.8659,1.178,0.3128,0.5358,0.0787,1.883,0.583
70,-1544.53292816,1.925831897,-1542.60709626,2.755,0.7979,2.8856,0.8149,1.6647,0.801,0.8213,0.1545,0.6134,0.0928,1.748,0.532
80,-1520.33384895,0.4026293678,-1519.93121958,2.7433,0.7792,2.7342,0.7723,1.6601,0.7734,0.7198,0.1566,0.6662,0.0953,1.705,0.515
90,-1853.48258732,0.4795723484,-1853.00301497,2.8239,0.7797,2.6647,0.7537,1.5934,0.7454,0.8097,0.1395,0.6382,0.0911,1.706,0.502
100,-1918.93986190,0.43322283,-1918.50663907,2.5996,0.7126,2.5422,0.7141,1.2791,0.7999,0.7779,0.1301,0.6213,0.0833,1.564,0.488
