,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,1040,21.99,1.94,1.83,2.11,2.16,1.89,2.08,2.18,1.89,1.04,1.05,1.13,0.91,0.93,1.12,0.91,0.93,2.01,1.003
2,-1335,4.04,1.09,1.01,1.77,1.17,0.86,1.12,1.15,0.86,0.36,0.41,0.93,0.16,0.18,0.87,0.21,0.2,1.12875,0.415
5,-1296,1.23,1.49,1.12,1.93,1.2,1.86,1.14,1.22,0.95,0.54,0.5,0.98,0.16,0.38,0.87,0.18,0.23,1.36375,0.480
8,-1092,7.96,1.81,1.27,1.71,1.23,1.37,1.35,1.36,1.01,0.75,0.57,0.9,0.2,0.23,0.9,0.26,0.24,1.38875,0.506
10,-1804,0.86,1.19,0.96,1.62,1.24,1.37,1.32,1.29,1.01,0.45,0.38,0.83,0.18,0.21,0.89,0.21,0.22,1.25,0.421
13,-830,1.09,1.05,0.99,1.54,1.67,1.49,1.53,1.41,1.05,0.37,0.41,0.78,0.65,0.23,0.91,0.22,0.22,1.34125,0.474
16,-1690,0.47,1.25,0.98,1.42,1.19,1.34,1.16,1.49,1.06,0.43,0.44,0.73,0.19,0.21,0.88,0.22,0.22,1.23625,0.415
18,-2018,0.54,1.07,0.95,1.24,1.39,1.39,1.27,1.51,1.07,0.38,0.38,0.63,0.18,0.21,0.89,0.2,0.21,1.23625,0.385
21,-1878,0.32,1.06,0.85,1.09,1.34,1.45,1.21,1.56,1.08,0.37,0.36,0.56,0.17,0.22,0.82,0.21,0.21,1.205,0.365
24,-2128,0.34,1.26,1.01,0.91,1.3,1.46,1.42,1.6,1.08,0.44,0.43,0.48,0.17,0.22,0.9,0.21,0.21,1.255,0.383
26,-1881,0.24,1.02,0.71,0.83,1.33,1.36,1.47,1.74,1.08,0.39,0.31,0.45,0.17,0.2,0.9,0.23,0.2,1.1925,0.356
29,-1893,0.42,0.84,0.61,0.84,1.42,1.4,1.53,1.72,1.1,0.31,0.27,0.48,0.2,0.21,0.91,0.24,0.22,1.1825,0.355
32,-2299,1.17,0.96,0.8,0.95,1.22,1.29,1.53,1.84,1.02,0.33,0.35,0.5,0.19,0.19,0.9,0.24,0.2,1.20125,0.363
35,-2383,0.33,0.94,0.7,0.73,1.32,1.32,1.49,1.67,0.97,0.35,0.31,0.43,0.19,0.2,0.9,0.22,0.19,1.1425,0.349
37,-2137,0.51,0.75,0.77,0.77,1.24,1.49,1.59,1.77,1.13,0.27,0.35,0.45,0.21,0.22,0.91,0.23,0.22,1.18875,0.358
40,-2502,0.27,0.7,0.7,0.78,1.27,1.42,1.54,1.61,1.06,0.24,0.32,0.47,0.2,0.21,0.9,0.2,0.21,1.135,0.344
43,-2388,1.14,0.8,1.02,0.71,1.25,1.29,1.59,1.76,1.05,0.3,0.47,0.39,0.18,0.2,0.9,0.23,0.2,1.18375,0.359
45,-2184,0.1,0.68,0.6,0.61,1.25,1.27,1.64,1.67,1.07,0.24,0.27,0.35,0.17,0.2,0.91,0.21,0.22,1.09875,0.321
48,-1496,0.15,0.66,0.62,0.65,1.35,1.52,1.59,1.76,1.27,0.24,0.28,0.39,0.2,0.23,0.91,0.23,0.27,1.1775,0.344
51,-1846,37,0.7,0.67,0.75,1.25,1.25,1.65,1.6,1.14,0.26,0.34,0.45,0.18,0.19,0.91,0.26,0.19,1.12625,0.348
53,-1958,0.08,2.41,0.55,0.62,1.28,1.2,1.72,1.96,1.02,0.7,0.27,0.35,0.2,0.21,0.92,0.27,0.2,1.345,0.390
56,-1204,0.33,0.58,0.6,0.67,1.18,2.67,1.85,1.91,1.13,0.24,0.27,0.42,0.18,1.05,0.92,0.26,0.22,1.32375,0.445
59,-1613,0.2,0.53,0.75,0.62,1.17,0.87,1.78,1.75,1.17,0.47,0.35,0.41,0.2,1.19,0.92,0.24,0.22,1.08,0.500
62,-2165,0.09,1.73,1.08,0.58,1.09,0.82,1.76,1.83,1.08,0.61,0.5,0.34,0.17,0.14,0.92,0.24,0.2,1.24625,0.390
64,-1201,8.25,8.97,1.02,0.53,1.23,1.12,1.77,1.93,1.2,2.2,0.56,0.34,0.18,0.62,0.92,0.26,0.23,2.22125,0.664
67,-950,0.26,0.24,0.79,0.68,1.23,0.55,1.79,1.84,1.15,0.23,0.41,0.44,0.19,0.13,0.92,0.23,0.22,1.03375,0.346
70,-1699,0.7,1.02,0.63,0.56,1.15,0.5,1.78,1.89,1.12,0.75,0.32,0.35,0.17,0.1,0.91,0.23,0.2,1.08125,0.379
72,-1875,0.27,0.47,0.39,0.59,1.11,0.47,1.72,2.1,1.21,0.35,0.2,0.37,0.18,0.12,0.92,0.28,0.22,1.0075,0.330
75,-1580,0.21,0.38,0.62,0.55,1.19,0.55,1.72,1.96,1.15,0.26,0.35,0.36,0.22,0.13,0.91,0.25,0.21,1.015,0.336
78,-1737,0.53,0.37,1.24,0.62,1.08,0.48,1.75,1.74,1.33,0.2,0.54,0.4,0.19,0.1,0.92,0.22,0.22,1.07625,0.349
80,-1726,0.15,0.45,0.5,0.48,0.99,0.47,1.61,1.76,1.04,0.18,0.23,0.33,0.16,0.09,0.91,0.21,0.19,0.9125,0.288
83,-1531,0.1,0.39,0.68,0.55,1.19,0.6,1.46,1.94,1.37,0.17,0.63,0.37,0.21,0.12,0.91,0.26,0.24,1.0225,0.364
86,-1564,0.11,0.35,1.76,0.47,0.93,0.49,1.56,1.7,1.9,0.16,1.03,0.3,0.19,0.1,0.91,0.21,0.28,1.145,0.398
88,-2277,0.48,0.41,0.42,0.5,0.73,0.48,1.63,2.09,1.14,0.18,0.47,0.3,0.15,0.09,0.91,0.26,0.21,0.925,0.321
91,-1428,0.21,0.56,0.23,0.48,0.66,0.53,1.66,1.79,1.24,0.44,0.3,0.3,0.15,0.11,0.91,0.38,0.23,0.89375,0.353
94,-1427,0.19,4.35,0.88,0.66,0.98,0.54,1.64,2.05,1.37,1.5,0.72,0.46,0.18,0.11,0.91,0.27,0.24,1.55875,0.549
