{0:,0.001,,50:,0.0002,,100:,0.0001},,,,,,,,,,,,,
{2859:,('2015-01-01',,'2015-12-01')},,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,100,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,908.098045,23.313897,2.066,2.058,2.026,2,1.974,2.09,1.974,1.909,1.064,1.097,1.128,0.911,0.897,1.147,0.907,0.871,2.012,1.003
10,-192.171014,17.40538,1.823,1.636,1.812,0.977,0.92,1.303,1.865,0.873,0.64,0.923,0.96,0.123,0.146,0.858,0.702,0.111,1.401,0.558
20,-1274.185747,1.251624,1.037,1.086,1.79,1.104,0.936,1,1.778,0.948,0.345,0.427,0.947,0.221,0.112,0.897,0.668,0.127,1.210,0.468
30,-1298.237588,0.764122,0.855,0.904,1.801,1.334,0.998,0.983,1.92,0.995,0.312,0.366,0.935,0.236,0.13,0.89,0.704,0.129,1.224,0.463
40,-1330.220027,0.976141,0.772,0.866,1.757,1.268,1.093,1.059,1.892,1.019,0.296,0.362,0.902,0.186,0.194,0.892,0.678,0.123,1.216,0.454
50,-100.607777,0.63802,0.69,0.691,1.668,1.524,1.216,1.01,1.895,1.045,0.271,0.295,0.842,0.289,0.393,0.897,0.682,0.127,1.217,0.475
60,-2279.178264,0.682828,0.571,0.538,1.589,1.445,1.097,0.981,1.785,0.975,0.218,0.215,0.797,0.184,0.184,0.889,0.646,0.1,1.123,0.404
70,-1929.309714,0.666283,0.57,0.52,1.612,1.42,1.022,0.983,1.829,0.968,0.215,0.209,0.81,0.183,0.17,0.889,0.658,0.099,1.116,0.404
80,-1806.677943,0.693657,0.564,0.51,1.593,1.499,1.063,0.972,1.849,0.946,0.241,0.207,0.798,0.178,0.148,0.889,0.667,0.096,1.125,0.403
90,-1906.458976,0.590749,0.824,0.528,1.614,1.56,1.031,0.98,1.91,0.961,0.361,0.215,0.804,0.191,0.142,0.89,0.688,0.1,1.176,0.424
100,-1612.705878,0.600551,0.736,0.515,1.623,1.385,1.031,0.982,1.824,0.954,0.284,0.209,0.796,0.162,0.213,0.89,0.655,0.097,1.131,0.413
110,-2312.809577,0.720745,0.701,0.498,1.593,1.381,1.193,0.965,1.815,0.952,0.255,0.201,0.791,0.15,0.249,0.888,0.654,0.096,1.137,0.411
