{0:,0.001,,150:,0.0001},,,,,,,,,,,,,,,,
{6990:,('2015-01-01',,'2015-12-01')},,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,100,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,1136.150105,23.463755,2.118,2.099,2.13,2.419,2.024,2.072,2.398,2.031,1.118,1.144,1.137,0.924,0.938,1.124,0.916,0.941,2.161,1.030
10,-825.698086,5.445747,1.533,1.577,1.875,1.503,1.32,1.14,1.472,0.989,0.602,0.748,0.961,0.198,0.285,0.873,0.181,0.214,1.426,0.508
20,-1054.034126,7.046626,1.362,1.128,1.784,1.656,1.086,1.089,1.584,1.06,0.607,0.526,0.915,0.479,0.189,0.852,0.203,0.186,1.344,0.495
30,-1485.296655,4.54979,1.243,0.939,1.715,1.456,1.22,1.194,1.401,0.992,0.586,0.457,0.885,0.19,0.194,0.869,0.171,0.197,1.270,0.444
40,-1335.956054,1.634093,1.105,0.922,1.619,1.582,1.207,1.333,1.586,1.117,0.477,0.45,0.838,0.22,0.233,0.889,0.288,0.216,1.309,0.451
50,-1555.997336,1.208576,0.911,0.868,1.56,1.556,1.143,1.371,1.581,1.17,0.385,0.417,0.814,0.202,0.21,0.878,0.23,0.337,1.270,0.434
60,-1357.122029,0.87495,0.762,0.702,1.35,1.542,1.251,1.512,1.644,1.356,0.332,0.358,0.711,0.18,0.192,0.956,0.197,0.349,1.265,0.409
70,-1375.167071,0.789555,0.846,0.798,1.258,1.535,2.215,1.686,1.954,1.169,0.371,0.387,0.669,0.186,0.571,0.895,0.267,0.235,1.433,0.448
80,-1071.161004,5.830728,0.711,0.712,1.183,1.577,1.422,1.625,1.754,1.453,0.341,0.364,0.64,0.213,0.237,0.929,0.221,0.399,1.305,0.418
90,-2231.671977,0.761009,0.648,0.651,0.996,1.402,1.323,1.448,1.703,1.192,0.293,0.322,0.549,0.175,0.193,0.891,0.194,0.25,1.170,0.358
100,-1048.649861,0.942356,0.656,0.691,0.96,1.416,1.518,1.72,1.858,1.496,0.311,0.353,0.546,0.207,0.272,0.908,0.237,0.303,1.289,0.392
110,-1225.476415,3.13261,0.561,0.64,0.844,1.276,2.321,1.521,1.782,1.336,0.305,0.333,0.543,0.203,0.474,0.891,0.222,0.267,1.285,0.405
120,-1590.352408,0.508231,0.721,0.676,0.716,1.178,1.337,1.564,1.649,1.19,0.432,0.339,0.423,0.166,0.212,0.896,0.203,0.242,1.129,0.364
130,-1738.947411,0.341332,0.883,0.68,0.684,1.199,1.386,1.695,1.821,1.243,0.575,0.347,0.401,0.169,0.229,0.923,0.231,0.236,1.199,0.389
140,-2093.833629,0.476232,0.659,0.617,0.647,1.097,1.333,1.732,1.693,1.151,0.309,0.313,0.385,0.155,0.211,0.935,0.194,0.208,1.116,0.339
150,-2162.109757,0.372565,0.571,0.57,0.649,1.174,1.334,1.572,1.837,1.125,0.272,0.295,0.434,0.201,0.208,0.903,0.21,0.227,1.104,0.344
160,-3012.089505,0.575668,0.513,0.527,0.662,1.162,1.257,1.504,1.742,1.096,0.227,0.264,0.41,0.124,0.171,0.887,0.177,0.192,1.058,0.307
