{0:,0.001},,,,,,,,,,,,,,,,,,,
{2859:,('2015-01-01',,'2015-12-01')},,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,100,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,1172.560311,28.619411,2.059,2.02,2.173,2.54,2.728,2.163,2.501,2.768,1.07,1.088,1.155,0.93,0.93,1.157,0.921,0.943,2.369,1.024
10,-679.493111,4.454331,1.438,1.539,1.943,1.473,1.704,1.145,2.434,1.711,0.468,0.636,0.978,0.172,0.153,0.907,0.711,0.217,1.673,0.530
20,-665.162038,13.93325,1.265,1.055,1.916,1.686,1.79,1.079,2.005,1.782,0.47,0.47,0.967,0.203,0.184,0.913,0.527,0.253,1.572,0.498
30,-1686.147593,2.580521,0.955,0.849,1.906,1.557,1.878,1.081,1.683,1.721,0.34,0.344,0.949,0.165,0.167,0.914,0.413,0.153,1.454,0.431
40,-1864.244801,3.379741,0.85,0.771,1.817,1.775,1.877,1.087,2.282,1.758,0.303,0.31,0.908,0.201,0.171,0.916,0.657,0.157,1.527,0.453
50,-1196.058408,1.072683,0.766,0.723,1.765,1.768,2.089,1.274,3.221,1.805,0.269,0.298,0.867,0.223,0.21,0.913,1.022,0.195,1.676,0.500
60,-1248.508953,2.422624,0.823,0.676,1.593,1.789,1.928,1.127,2.275,1.826,0.403,0.284,0.782,0.186,0.267,0.922,0.654,0.175,1.505,0.459
70,-808.154554,0.945857,0.692,0.683,1.502,2.025,1.944,1.186,2.412,1.88,0.274,0.346,0.722,0.294,0.177,0.934,0.712,0.164,1.541,0.453
80,-1493.404621,2.20204,0.712,1.262,1.391,1.809,2.062,1.153,2.244,1.892,0.27,0.757,0.66,0.19,0.193,0.923,0.666,0.158,1.566,0.477
90,-1955.503565,0.665737,0.679,1.116,1.269,1.937,1.996,1.294,2.311,1.844,0.248,0.548,0.598,0.205,0.172,0.939,0.663,0.175,1.556,0.444
100,-1947.296688,0.665112,0.633,0.702,1.314,1.842,1.991,1.323,1.956,1.839,0.233,0.326,0.622,0.182,0.175,0.943,0.556,0.165,1.450,0.400
110,-1714.092644,1.384258,0.595,0.658,1.21,2.082,2.116,1.151,2.347,1.836,0.223,0.309,0.567,0.268,0.189,0.918,0.686,0.159,1.499,0.415
120,-2255.223489,0.650457,0.563,0.633,1.242,2.317,2.027,1.139,2.321,1.837,0.207,0.274,0.578,0.404,0.173,0.918,0.681,0.161,1.510,0.425
130,-2021.23413,0.22885,0.535,0.624,1.192,1.924,1.919,1.162,3.964,1.859,0.207,0.273,0.558,0.237,0.172,0.923,0.875,0.159,1.647,0.426
140,-2326.008428,0.418701,0.536,0.598,1.112,1.855,1.951,1.199,2.434,1.809,0.206,0.26,0.524,0.184,0.213,0.928,0.701,0.171,1.437,0.398
150,-1956.228894,0.569004,0.506,0.56,1.116,1.939,2.008,1.245,2.444,1.87,0.204,0.245,0.522,0.203,0.193,0.931,0.713,0.167,1.461,0.397
160,-2133.392041,0.168835,0.599,0.537,1.117,1.743,2.036,1.223,2.332,1.861,0.267,0.247,0.532,0.187,0.229,0.927,0.68,0.167,1.431,0.405
170,-2218.407693,0.210641,0.493,0.541,1.051,1.782,2.013,1.199,2.308,1.851,0.189,0.242,0.49,0.173,0.2,0.926,0.678,0.155,1.405,0.382
180,-2556.413313,0.662654,0.472,0.526,1.064,1.836,2.465,1.226,2.293,1.794,0.186,0.231,0.502,0.181,0.257,0.928,0.678,0.157,1.460,0.390
190,-1791.015421,0.295548,0.47,0.531,1.039,6.531,2.223,1.241,2.336,1.85,0.185,0.239,0.492,1.462,0.219,0.929,0.696,0.163,2.028,0.548
200,-2365.720856,0.244103,0.478,0.515,1.002,0.844,2.253,1.613,2.265,1.871,0.182,0.227,0.473,0.134,0.214,0.957,0.667,0.158,1.355,0.377
