{0:,0.001},,"furnace, refrigerator",,,,,,,,,,,,,,,,,
{2859:,('2015-01-01',,'2015-12-01')},,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,100,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,282,8.25,2.09,2.12,,,,,,,1.1,1.14,,,,,,,2.11,1.12
10,-190,0.65,0.37,0.77,,,,,,,0.19,0.48,,,,,,,0.57,0.34
20,-169,2.55,0.28,0.56,,,,,,,0.17,0.35,,,,,,,0.42,0.26
30,-370,0.33,0.34,0.54,,,,,,,0.17,0.34,,,,,,,0.44,0.26
40,-376,0.42,0.29,0.46,,,,,,,0.16,0.3,,,,,,,0.38,0.23
50,-432,0.95,0.31,0.47,,,,,,,0.15,0.3,,,,,,,0.39,0.23
60,-433,1.51,0.31,0.48,,,,,,,0.14,0.31,,,,,,,0.40,0.23
70,-370,1.3,0.34,0.57,,,,,,,0.17,0.36,,,,,,,0.46,0.27
80,-307,3.82,0.39,0.72,,,,,,,0.19,0.49,,,,,,,0.56,0.34
90,-448,0.2,0.24,0.58,,,,,,,0.11,0.35,,,,,,,0.41,0.23
100,-304,0.25,0.29,0.57,,,,,,,0.16,0.38,,,,,,,0.43,0.27
