{0:,0.001,,80:,0.0001},,,,,,,,,,,,,,,,
['furnace1',,'refrigerator1'],,,,,,,,,,,,,,,,,,
{2859:,('2015-01-01',,'2015-12-31')},,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,284.221631,11.440285,2.096,2.15,0,0,0,0,0,0,1.102,1.152,0,0,0,0,0,0,2.123,1.127
11,-205.408843,11.014157,0.476,1.419,0,0,0,0,0,0,0.286,0.745,0,0,0,0,0,0,0.948,0.516
23,-292.919972,0.543782,0.281,0.824,0,0,0,0,0,0,0.154,0.423,0,0,0,0,0,0,0.553,0.289
34,-315.71433,0.406268,0.304,0.919,0,0,0,0,0,0,0.159,0.478,0,0,0,0,0,0,0.612,0.319
46,185.711783,3.164051,0.287,0.926,0,0,0,0,0,0,0.162,0.556,0,0,0,0,0,0,0.607,0.359
57,-424.318187,0.244013,0.278,0.685,0,0,0,0,0,0,0.134,0.388,0,0,0,0,0,0,0.482,0.261
69,-417.858398,0.263133,0.293,0.585,0,0,0,0,0,0,0.141,0.35,0,0,0,0,0,0,0.439,0.246
80,-463.85984,0.238418,0.286,0.579,0,0,0,0,0,0,0.135,0.344,0,0,0,0,0,0,0.433,0.240
92,-564.082849,0.258901,0.241,0.537,0,0,0,0,0,0,0.107,0.317,0,0,0,0,0,0,0.389,0.212
103,-598.909797,0.280718,0.232,0.519,0,0,0,0,0,0,0.103,0.311,0,0,0,0,0,0,0.376,0.207
115,-604.491128,0.294957,0.234,0.527,0,0,0,0,0,0,0.102,0.313,0,0,0,0,0,0,0.381,0.208
126,-604.949,0.302342,0.231,0.529,0,0,0,0,0,0,0.101,0.316,0,0,0,0,0,0,0.380,0.209
138,-612.424477,0.312923,0.231,0.515,0,0,0,0,0,0,0.102,0.312,0,0,0,0,0,0,0.373,0.207
150,-624.028211,0.325413,0.235,0.529,0,0,0,0,0,0,0.102,0.316,0,0,0,0,0,0,0.382,0.209
161,-623.131732,0.344017,0.238,0.516,0,0,0,0,0,0,0.104,0.312,0,0,0,0,0,0,0.377,0.208
173,-630.522442,0.357169,0.24,0.521,0,0,0,0,0,0,0.105,0.314,0,0,0,0,0,0,0.381,0.210
184,-630.828267,0.373169,0.232,0.514,0,0,0,0,0,0,0.102,0.313,0,0,0,0,0,0,0.373,0.208
196,-635.613518,0.388255,0.239,0.511,0,0,0,0,0,0,0.104,0.311,0,0,0,0,0,0,0.375,0.208
207,-640.133321,0.393345,0.245,0.509,0,0,0,0,0,0,0.106,0.31,0,0,0,0,0,0,0.377,0.208
219,-642.774323,0.401968,0.239,0.504,0,0,0,0,0,0,0.104,0.309,0,0,0,0,0,0,0.372,0.207
230,-646.680864,0.414686,0.249,0.511,0,0,0,0,0,0,0.107,0.312,0,0,0,0,0,0,0.380,0.210
242,-644.605046,0.42629,0.251,0.511,0,0,0,0,0,0,0.108,0.31,0,0,0,0,0,0,0.381,0.209
253,-655.708009,0.438187,0.251,0.508,0,0,0,0,0,0,0.108,0.31,0,0,0,0,0,0,0.380,0.209
265,-661.600118,0.450332,0.252,0.503,0,0,0,0,0,0,0.108,0.309,0,0,0,0,0,0,0.378,0.209
276,-662.527808,0.460338,0.252,0.514,0,0,0,0,0,0,0.108,0.313,0,0,0,0,0,0,0.383,0.211
288,-664.566611,0.462428,0.253,0.51,0,0,0,0,0,0,0.109,0.311,0,0,0,0,0,0,0.382,0.210
300,-666.84435,0.466209,0.255,0.51,0,0,0,0,0,0,0.109,0.309,0,0,0,0,0,0,0.383,0.209
