{0:,0.001,,100:,2e-05},,,,,,,,,,,,,,,,
['furnace1',,'refrigerator1'],,,,,,,,,,,,,,,,,,
{2859:,('2015-01-01',,'2015-12-31')},,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,279.429444,14.463436,2.095,2.061,0,0,0,0,0,0,1.109,1.138,0,0,0,0,0,0,2.078,1.12
11,-288.069388,1.305986,0.405,0.752,0,0,0,0,0,0,0.198,0.411,0,0,0,0,0,0,0.579,0.30
23,-362.882787,0.782717,0.321,0.639,0,0,0,0,0,0,0.153,0.388,0,0,0,0,0,0,0.480,0.27
34,-279.597604,3.722671,0.27,0.981,0,0,0,0,0,0,0.139,0.584,0,0,0,0,0,0,0.626,0.36
46,-369.024451,0.450245,0.273,0.562,0,0,0,0,0,0,0.136,0.34,0,0,0,0,0,0,0.418,0.24
57,-426.730983,0.447433,0.341,0.529,0,0,0,0,0,0,0.156,0.331,0,0,0,0,0,0,0.435,0.24
69,-432.818028,0.500309,0.299,0.513,0,0,0,0,0,0,0.144,0.337,0,0,0,0,0,0,0.406,0.24
80,-331.137966,2.56759,0.337,0.541,0,0,0,0,0,0,0.166,0.369,0,0,0,0,0,0,0.439,0.27
92,-443.488229,0.25319,0.25,0.522,0,0,0,0,0,0,0.12,0.335,0,0,0,0,0,0,0.386,0.23
103,-551.590413,0.254167,0.301,0.46,0,0,0,0,0,0,0.138,0.288,0,0,0,0,0,0,0.381,0.21
115,-602.250326,0.282775,0.257,0.438,0,0,0,0,0,0,0.119,0.274,0,0,0,0,0,0,0.348,0.20
126,-616.657473,0.295835,0.241,0.435,0,0,0,0,0,0,0.112,0.273,0,0,0,0,0,0,0.338,0.19
138,-620.487021,0.30319,0.241,0.438,0,0,0,0,0,0,0.112,0.275,0,0,0,0,0,0,0.340,0.19
150,-619.591919,0.308167,0.239,0.437,0,0,0,0,0,0,0.111,0.275,0,0,0,0,0,0,0.338,0.19
161,-624.21328,0.314756,0.235,0.434,0,0,0,0,0,0,0.11,0.273,0,0,0,0,0,0,0.335,0.19
173,-624.148417,0.321141,0.236,0.438,0,0,0,0,0,0,0.109,0.274,0,0,0,0,0,0,0.337,0.19
184,-630.246252,0.328789,0.233,0.439,0,0,0,0,0,0,0.108,0.277,0,0,0,0,0,0,0.336,0.19
196,-628.559884,0.337615,0.233,0.441,0,0,0,0,0,0,0.108,0.275,0,0,0,0,0,0,0.337,0.19
200,-633.583754,0.338989,0.234,0.44,0,0,0,0,0,0,0.108,0.275,0,0,0,0,0,0,0.337,0.19
