{0:,0.001},,,,,,,,,,,,,,,,,,,
['furnace1',,'refrigerator1'],,,,,,,,,,,,,,,,,,
{2859:,('2015-01-01',,'2015-12-31')},,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,279.916816,12.059088,2.166,2.031,0,0,0,0,0,0,1.124,1.139,0,0,0,0,0,0,2.099,1.132
11,-202.585322,3.570775,0.52,0.896,0,0,0,0,0,0,0.249,0.507,0,0,0,0,0,0,0.708,0.378
23,-298.385095,0.889662,0.319,0.757,0,0,0,0,0,0,0.165,0.415,0,0,0,0,0,0,0.538,0.290
34,-151.183012,5.132177,0.303,0.682,0,0,0,0,0,0,0.207,0.406,0,0,0,0,0,0,0.493,0.307
46,-384.843831,0.413751,0.283,0.614,0,0,0,0,0,0,0.152,0.352,0,0,0,0,0,0,0.449,0.252
57,-433.28638,0.370377,0.279,0.547,0,0,0,0,0,0,0.143,0.327,0,0,0,0,0,0,0.413,0.235
69,-456.727691,0.361006,0.289,0.497,0,0,0,0,0,0,0.144,0.308,0,0,0,0,0,0,0.393,0.226
80,-225.472658,16.877587,0.381,0.607,0,0,0,0,0,0,0.239,0.41,0,0,0,0,0,0,0.494,0.325
92,-436.255189,0.338604,0.348,0.573,0,0,0,0,0,0,0.165,0.355,0,0,0,0,0,0,0.461,0.260
103,-491.547308,0.276149,0.26,0.504,0,0,0,0,0,0,0.126,0.314,0,0,0,0,0,0,0.382,0.220
115,-452.706438,0.254102,0.262,0.514,0,0,0,0,0,0,0.123,0.328,0,0,0,0,0,0,0.388,0.226
126,-154.018406,1.302197,0.72,0.626,0,0,0,0,0,0,0.412,0.404,0,0,0,0,0,0,0.673,0.408
138,-503.027578,0.302443,0.316,0.518,0,0,0,0,0,0,0.158,0.322,0,0,0,0,0,0,0.417,0.240
150,-504.290267,0.283338,0.275,0.496,0,0,0,0,0,0,0.128,0.311,0,0,0,0,0,0,0.386,0.220
161,-407.458648,0.301308,0.298,0.503,0,0,0,0,0,0,0.14,0.326,0,0,0,0,0,0,0.401,0.233
173,-319.413347,0.358805,0.467,0.56,0,0,0,0,0,0,0.224,0.36,0,0,0,0,0,0,0.514,0.292
184,-241.620858,2.595712,0.495,0.555,0,0,0,0,0,0,0.245,0.398,0,0,0,0,0,0,0.525,0.322
196,-508.669987,0.210893,0.244,0.483,0,0,0,0,0,0,0.113,0.311,0,0,0,0,0,0,0.364,0.212
207,-474.432514,0.219127,0.252,0.517,0,0,0,0,0,0,0.114,0.35,0,0,0,0,0,0,0.385,0.232
219,-496.021329,0.300801,0.262,0.485,0,0,0,0,0,0,0.118,0.314,0,0,0,0,0,0,0.374,0.216
230,-291.397647,8.311623,0.53,0.582,0,0,0,0,0,0,0.267,0.421,0,0,0,0,0,0,0.556,0.344
242,-388.128833,0.205118,0.287,0.509,0,0,0,0,0,0,0.135,0.369,0,0,0,0,0,0,0.398,0.252
253,-440.805137,0.228763,0.275,0.539,0,0,0,0,0,0,0.13,0.35,0,0,0,0,0,0,0.407,0.240
265,-433.801646,0.279752,0.254,0.468,0,0,0,0,0,0,0.118,0.327,0,0,0,0,0,0,0.361,0.223
276,-505.998236,0.34362,0.257,0.443,0,0,0,0,0,0,0.116,0.295,0,0,0,0,0,0,0.350,0.206
288,-479.278831,0.265451,0.313,0.439,0,0,0,0,0,0,0.141,0.288,0,0,0,0,0,0,0.376,0.215
300,-486.068605,0.315097,0.298,0.429,0,0,0,0,0,0,0.139,0.28,0,0,0,0,0,0,0.364,0.210
