{0: 0.01},,,,,,,,,,,,,,,,,,,,
['furnace1', 'refrigerator1'],,,,,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2015-12-31')},,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,226.352097,10.568086,2.13,2.09,0,0,0,0,0,0,1.116,1.141,0,0,0,0,0,0,2.11,1.13
12,59.571321,0.151518,0.561,1.463,0,0,0,0,0,0,0.356,0.747,0,0,0,0,0,0,1.01,0.55
25,-136.762761,0.008288,0.367,1.053,0,0,0,0,0,0,0.187,0.619,0,0,0,0,0,0,0.71,0.40
37,-307.714809,0.00332,0.437,0.648,0,0,0,0,0,0,0.22,0.383,0,0,0,0,0,0,0.54,0.30
50,-305.337806,0.002726,0.316,0.584,0,0,0,0,0,0,0.168,0.342,0,0,0,0,0,0,0.45,0.26
62,-306.594301,0.003192,0.356,0.769,0,0,0,0,0,0,0.184,0.437,0,0,0,0,0,0,0.56,0.31
75,-302.34651,0.001955,0.299,0.845,0,0,0,0,0,0,0.149,0.45,0,0,0,0,0,0,0.57,0.30
87,-281.53268,0.17456,0.422,0.812,0,0,0,0,0,0,0.193,0.45,0,0,0,0,0,0,0.62,0.32
100,-314.180422,0.008038,0.349,0.824,0,0,0,0,0,0,0.164,0.494,0,0,0,0,0,0,0.59,0.33
