{0: 0.01, 50: 0.001},,,,,,,,,,,,,,,,,,,
['furnace1', 'refrigerator1'],,,,,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2015-12-31')},,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,222.527323,9.516638,2.091,2.014,0,0,0,0,0,0,1.103,1.13,0,0,0,0,0,0,2.053,1.117
10,-256.625047,0.199758,1.123,0.875,0,0,0,0,0,0,0.418,0.448,0,0,0,0,0,0,0.999,0.433
20,-320.039469,0.039027,0.423,0.749,0,0,0,0,0,0,0.194,0.369,0,0,0,0,0,0,0.586,0.282
30,-273.846777,0.024215,0.357,0.701,0,0,0,0,0,0,0.171,0.344,0,0,0,0,0,0,0.529,0.258
40,-224.42778,0.024187,0.477,0.672,0,0,0,0,0,0,0.227,0.376,0,0,0,0,0,0,0.575,0.302
50,-250.388067,0.028725,0.53,0.841,0,0,0,0,0,0,0.224,0.443,0,0,0,0,0,0,0.686,0.334
60,-396.886233,0.024371,0.382,0.642,0,0,0,0,0,0,0.161,0.323,0,0,0,0,0,0,0.512,0.242
70,-421.807983,0.017663,0.334,0.713,0,0,0,0,0,0,0.145,0.35,0,0,0,0,0,0,0.524,0.248
80,-428.167092,0.016303,0.327,0.72,0,0,0,0,0,0,0.143,0.358,0,0,0,0,0,0,0.524,0.251
90,-416.433715,0.015241,0.304,0.719,0,0,0,0,0,0,0.135,0.363,0,0,0,0,0,0,0.512,0.249
100,-310.99988,0.022212,0.272,0.642,0,0,0,0,0,0,0.125,0.341,0,0,0,0,0,0,0.457,0.233
