{0: 0.01, 50: 0.001},,,,,,,,,,,,,,,,,,,
['furnace1', 'refrigerator1'],,,,,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
logTest,mseTest,maeTest,,,,,,,,,,,,,,,,,,
-184.85568012,2.7329265946,1.1088976471,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,224.799321,11.626699,2.053,2.1,0,0,0,0,0,0,1.088,1.149,0,0,0,0,0,0,2.08,1.119
10,-212.07963,0.076336,0.586,1.319,0,0,0,0,0,0,0.262,0.674,0,0,0,0,0,0,0.95,0.468
20,-168.327834,0.332872,0.426,1.139,0,0,0,0,0,0,0.204,0.63,0,0,0,0,0,0,0.78,0.417
30,-208.816144,0.013116,0.492,1.031,0,0,0,0,0,0,0.239,0.528,0,0,0,0,0,0,0.76,0.384
40,-313.630623,0.006087,0.413,0.778,0,0,0,0,0,0,0.191,0.414,0,0,0,0,0,0,0.6,0.303
50,-332.637507,0.005181,0.343,0.646,0,0,0,0,0,0,0.157,0.367,0,0,0,0,0,0,0.49,0.262
60,-461.357229,0.006015,0.278,0.547,0,0,0,0,0,0,0.115,0.312,0,0,0,0,0,0,0.41,0.214
70,-470.586909,0.006534,0.276,0.539,0,0,0,0,0,0,0.113,0.31,0,0,0,0,0,0,0.41,0.212
80,-482.080545,0.006848,0.274,0.546,0,0,0,0,0,0,0.113,0.309,0,0,0,0,0,0,0.41,0.211
90,-481.482269,0.007058,0.275,0.528,0,0,0,0,0,0,0.113,0.308,0,0,0,0,0,0,0.4,0.211
100,-472.213391,0.007147,0.281,0.533,0,0,0,0,0,0,0.115,0.309,0,0,0,0,0,0,0.41,0.212
110,-479.053066,0.007054,0.281,0.54,0,0,0,0,0,0,0.115,0.31,0,0,0,0,0,0,0.41,0.213
120,-479.021114,0.007201,0.283,0.529,0,0,0,0,0,0,0.117,0.308,0,0,0,0,0,0,0.41,0.213
130,-484.01109,0.00735,0.283,0.534,0,0,0,0,0,0,0.117,0.308,0,0,0,0,0,0,0.41,0.213
140,-491.653613,0.007834,0.29,0.525,0,0,0,0,0,0,0.118,0.305,0,0,0,0,0,0,0.41,0.212
150,-496.205037,0.00739,0.293,0.534,0,0,0,0,0,0,0.119,0.306,0,0,0,0,0,0,0.41,0.213
160,-496.286664,0.006957,0.286,0.539,0,0,0,0,0,0,0.117,0.308,0,0,0,0,0,0,0.41,0.213
170,-501.663476,0.006202,0.285,0.55,0,0,0,0,0,0,0.117,0.312,0,0,0,0,0,0,0.42,0.215
180,-440.832948,0.005421,0.302,0.616,0,0,0,0,0,0,0.125,0.372,0,0,0,0,0,0,0.46,0.249
190,-487.600635,0.005013,0.281,0.541,0,0,0,0,0,0,0.115,0.313,0,0,0,0,0,0,0.41,0.214
200,-498.949408,0.005081,0.28,0.548,0,0,0,0,0,0,0.115,0.314,0,0,0,0,0,0,0.41,0.215
