{0: 0.01, 50: 0.001},,,,,,,,,,,,,,,,,,,
['furnace1', 'refrigerator1'],,,,,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
logTest,mseTest,maeTest,,,,,,,,,,,,,,,,,,
-166.729545024,2.8790124891,1.2699044104,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,226.058185,12.944064,2.179,2.114,0,0,0,0,0,0,1.12,1.151,0,0,0,0,0,0,2.147,1.136
10,3.418408,0.250866,0.434,1.733,0,0,0,0,0,0,0.247,0.903,0,0,0,0,0,0,1.084,0.575
20,-187.843973,0.011422,0.336,1.87,0,0,0,0,0,0,0.181,0.931,0,0,0,0,0,0,1.103,0.556
30,-271.051405,0.002451,0.389,0.798,0,0,0,0,0,0,0.196,0.408,0,0,0,0,0,0,0.594,0.302
40,-130.529844,0.001729,0.415,0.638,0,0,0,0,0,0,0.203,0.423,0,0,0,0,0,0,0.527,0.313
50,-320.113902,0.002465,0.354,0.87,0,0,0,0,0,0,0.159,0.52,0,0,0,0,0,0,0.612,0.340
60,-436.059505,0.003689,0.314,0.59,0,0,0,0,0,0,0.134,0.356,0,0,0,0,0,0,0.452,0.245
70,-354.49963,0.002357,0.323,0.639,0,0,0,0,0,0,0.141,0.385,0,0,0,0,0,0,0.481,0.263
80,-377.013154,0.002255,0.323,0.636,0,0,0,0,0,0,0.14,0.383,0,0,0,0,0,0,0.480,0.262
90,-397.351127,0.002177,0.317,0.632,0,0,0,0,0,0,0.137,0.377,0,0,0,0,0,0,0.475,0.257
100,-400.44529,0.00211,0.311,0.611,0,0,0,0,0,0,0.135,0.369,0,0,0,0,0,0,0.461,0.252
110,-388.354939,0.003109,0.363,0.592,0,0,0,0,0,0,0.157,0.36,0,0,0,0,0,0,0.478,0.259
120,-358.741449,0.008416,0.537,0.58,0,0,0,0,0,0,0.236,0.356,0,0,0,0,0,0,0.559,0.296
130,-406.722723,0.005403,0.4,0.586,0,0,0,0,0,0,0.17,0.356,0,0,0,0,0,0,0.493,0.263
140,-418.116384,0.009514,0.348,0.542,0,0,0,0,0,0,0.146,0.335,0,0,0,0,0,0,0.445,0.241
150,-416.345818,0.006562,0.344,0.532,0,0,0,0,0,0,0.144,0.329,0,0,0,0,0,0,0.438,0.237
160,-424.79232,0.01067,0.328,0.495,0,0,0,0,0,0,0.137,0.311,0,0,0,0,0,0,0.412,0.224
170,-358.131264,0.008547,0.324,0.494,0,0,0,0,0,0,0.135,0.326,0,0,0,0,0,0,0.409,0.231
180,-447.128876,0.009079,0.311,0.482,0,0,0,0,0,0,0.129,0.304,0,0,0,0,0,0,0.397,0.217
190,-414.853543,0.008755,0.304,0.593,0,0,0,0,0,0,0.135,0.363,0,0,0,0,0,0,0.449,0.249
200,-425.781331,0.005164,0.318,0.54,0,0,0,0,0,0,0.147,0.334,0,0,0,0,0,0,0.429,0.241
210,-472.869946,0.006399,0.314,0.507,0,0,0,0,0,0,0.139,0.311,0,0,0,0,0,0,0.411,0.225
220,-469.129626,0.004574,0.323,0.484,0,0,0,0,0,0,0.142,0.303,0,0,0,0,0,0,0.404,0.223
230,-450.763065,0.005168,0.34,0.472,0,0,0,0,0,0,0.146,0.295,0,0,0,0,0,0,0.406,0.221
240,-470.559031,0.005548,0.334,0.478,0,0,0,0,0,0,0.143,0.299,0,0,0,0,0,0,0.406,0.221
250,-472.753883,0.005086,0.355,0.489,0,0,0,0,0,0,0.15,0.305,0,0,0,0,0,0,0.422,0.228
260,-407.447833,0.006785,0.362,0.497,0,0,0,0,0,0,0.152,0.308,0,0,0,0,0,0,0.430,0.230
270,-464.876907,0.004528,0.363,0.55,0,0,0,0,0,0,0.152,0.337,0,0,0,0,0,0,0.457,0.245
280,-486.527878,0.002613,0.34,0.532,0,0,0,0,0,0,0.143,0.323,0,0,0,0,0,0,0.436,0.233
290,-337.985028,0.003005,0.344,0.516,0,0,0,0,0,0,0.146,0.319,0,0,0,0,0,0,0.430,0.233
300,-476.753414,0.003873,0.337,0.504,0,0,0,0,0,0,0.14,0.311,0,0,0,0,0,0,0.421,0.226
