{0: 0.01, 50: 0.001,,,,,,,,,,,,,,,,,,,
['furnace1', 'refrigerator1'],,,,,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
logTest,mseTest,maeTest,,,,,,,,,,,,,,,,,,
-154.990631695,3.3655367389,1.4968008108,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,222.997832,9.020099,2.067,2.143,0,0,0,0,0,0,1.104,1.158,0,0,0,0,0,0,2.11,1.13
10,92.051906,0.563121,0.641,2.103,0,0,0,0,0,0,0.267,1.089,0,0,0,0,0,0,1.37,0.68
20,-156.982664,0.098575,0.556,1.858,0,0,0,0,0,0,0.261,0.936,0,0,0,0,0,0,1.21,0.6
30,-303.524135,0.0111,0.566,1.023,0,0,0,0,0,0,0.259,0.484,0,0,0,0,0,0,0.79,0.37
40,-202.083635,0.007389,0.708,1.197,0,0,0,0,0,0,0.307,0.624,0,0,0,0,0,0,0.95,0.47
50,-293.249795,0.004376,0.509,1.376,0,0,0,0,0,0,0.228,0.688,0,0,0,0,0,0,0.94,0.46
60,-446.483958,0.004209,0.373,0.953,0,0,0,0,0,0,0.162,0.465,0,0,0,0,0,0,0.66,0.31
70,-411.760968,0.003788,0.358,0.936,0,0,0,0,0,0,0.158,0.448,0,0,0,0,0,0,0.65,0.3
80,-457.866183,0.003604,0.356,0.913,0,0,0,0,0,0,0.156,0.44,0,0,0,0,0,0,0.63,0.3
90,-432.938756,0.003669,0.352,0.892,0,0,0,0,0,0,0.156,0.432,0,0,0,0,0,0,0.62,0.29
100,-439.238571,0.003703,0.357,0.867,0,0,0,0,0,0,0.157,0.421,0,0,0,0,0,0,0.61,0.29
110,-419.328249,0.003579,0.342,0.976,0,0,0,0,0,0,0.151,0.466,0,0,0,0,0,0,0.66,0.31
120,-419.928349,0.003094,0.34,0.92,0,0,0,0,0,0,0.153,0.441,0,0,0,0,0,0,0.63,0.3
130,-412.509109,0.003132,0.352,0.853,0,0,0,0,0,0,0.157,0.425,0,0,0,0,0,0,0.6,0.29
140,-431.657035,0.0027,0.358,0.856,0,0,0,0,0,0,0.16,0.418,0,0,0,0,0,0,0.61,0.29
150,-417.790499,0.002873,0.346,0.918,0,0,0,0,0,0,0.154,0.441,0,0,0,0,0,0,0.63,0.3
160,-415.696804,0.002782,0.332,0.825,0,0,0,0,0,0,0.149,0.405,0,0,0,0,0,0,0.58,0.28
170,-445.380963,0.00282,0.333,0.823,0,0,0,0,0,0,0.15,0.404,0,0,0,0,0,0,0.58,0.28
180,-448.983308,0.003583,0.329,0.81,0,0,0,0,0,0,0.15,0.397,0,0,0,0,0,0,0.57,0.27
190,-444.858361,0.0039,0.336,0.799,0,0,0,0,0,0,0.152,0.391,0,0,0,0,0,0,0.57,0.27
200,-444.960982,0.003948,0.326,0.797,0,0,0,0,0,0,0.149,0.384,0,0,0,0,0,0,0.56,0.27
210,-464.432689,0.003609,0.333,0.789,0,0,0,0,0,0,0.15,0.389,0,0,0,0,0,0,0.56,0.27
220,-479.474015,0.003613,0.318,0.757,0,0,0,0,0,0,0.144,0.368,0,0,0,0,0,0,0.54,0.26
230,-411.869031,0.003365,0.309,0.864,0,0,0,0,0,0,0.144,0.459,0,0,0,0,0,0,0.59,0.3
240,-444.485879,0.003235,0.306,0.874,0,0,0,0,0,0,0.142,0.435,0,0,0,0,0,0,0.59,0.29
250,-484.791572,0.003186,0.298,0.853,0,0,0,0,0,0,0.139,0.426,0,0,0,0,0,0,0.58,0.28
260,-497.453324,0.002621,0.283,0.859,0,0,0,0,0,0,0.131,0.432,0,0,0,0,0,0,0.57,0.28
270,-514.233908,0.00288,0.277,0.807,0,0,0,0,0,0,0.129,0.398,0,0,0,0,0,0,0.54,0.26
280,-482.569238,0.003802,0.274,0.904,0,0,0,0,0,0,0.126,0.446,0,0,0,0,0,0,0.59,0.29
290,-376.212108,0.006552,0.278,0.869,0,0,0,0,0,0,0.128,0.453,0,0,0,0,0,0,0.57,0.29
300,-269.449462,0.00629,0.334,0.998,0,0,0,0,0,0,0.154,0.633,0,0,0,0,0,0,0.67,0.39
