{0: 0.01, 50: 0.001, 100: 0.0001},,,,,,,,,,,,,,,,,,
['furnace1', 'refrigerator1'],,,,,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
logTest,mseTest,maeTest,,,,,,,,,,,,,,,,,,
-82.9863044955,1.4986174153,0.6643961408,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,223.628567,11.040618,2.037,2.07,0,0,0,0,0,0,1.085,1.139,0,0,0,0,0,0,2.054,1.112
10,-137.465985,0.015889,0.489,1.006,0,0,0,0,0,0,0.246,0.529,0,0,0,0,0,0,0.748,0.388
20,-283.765784,0.002671,0.445,0.825,0,0,0,0,0,0,0.219,0.402,0,0,0,0,0,0,0.635,0.311
30,-298.385027,0.00303,0.426,0.841,0,0,0,0,0,0,0.202,0.387,0,0,0,0,0,0,0.634,0.295
40,-292.803897,0.004086,0.395,0.863,0,0,0,0,0,0,0.189,0.412,0,0,0,0,0,0,0.629,0.301
50,-130.682328,0.003492,0.797,0.789,0,0,0,0,0,0,0.33,0.39,0,0,0,0,0,0,0.793,0.360
60,-414.694987,0.011725,0.504,0.728,0,0,0,0,0,0,0.204,0.325,0,0,0,0,0,0,0.616,0.265
70,-439.920416,0.011251,0.452,0.733,0,0,0,0,0,0,0.181,0.325,0,0,0,0,0,0,0.593,0.253
80,-443.120483,0.010577,0.423,0.743,0,0,0,0,0,0,0.169,0.33,0,0,0,0,0,0,0.583,0.250
90,-439.766073,0.007278,0.394,0.744,0,0,0,0,0,0,0.16,0.327,0,0,0,0,0,0,0.569,0.244
100,-452.974489,0.00605,0.371,0.73,0,0,0,0,0,0,0.151,0.327,0,0,0,0,0,0,0.551,0.239
110,-486.93179,0.006686,0.345,0.716,0,0,0,0,0,0,0.14,0.318,0,0,0,0,0,0,0.531,0.229
120,-493.140122,0.00632,0.335,0.706,0,0,0,0,0,0,0.137,0.316,0,0,0,0,0,0,0.521,0.227
130,-498.582875,0.005883,0.329,0.719,0,0,0,0,0,0,0.134,0.317,0,0,0,0,0,0,0.524,0.226
140,-500.354057,0.0058,0.328,0.705,0,0,0,0,0,0,0.134,0.315,0,0,0,0,0,0,0.517,0.225
150,-502.865418,0.005704,0.325,0.698,0,0,0,0,0,0,0.132,0.313,0,0,0,0,0,0,0.512,0.223
160,-508.926422,0.006138,0.326,0.687,0,0,0,0,0,0,0.133,0.309,0,0,0,0,0,0,0.507,0.221
170,-513.880929,0.006716,0.314,0.682,0,0,0,0,0,0,0.129,0.307,0,0,0,0,0,0,0.498,0.218
180,-519.058858,0.006757,0.321,0.699,0,0,0,0,0,0,0.13,0.309,0,0,0,0,0,0,0.510,0.220
190,-520.435562,0.007161,0.324,0.718,0,0,0,0,0,0,0.132,0.312,0,0,0,0,0,0,0.521,0.222
200,-526.487876,0.007047,0.324,0.687,0,0,0,0,0,0,0.131,0.308,0,0,0,0,0,0,0.506,0.220
210,-528.080018,0.007028,0.318,0.696,0,0,0,0,0,0,0.129,0.307,0,0,0,0,0,0,0.507,0.218
220,-537.073451,0.007283,0.324,0.698,0,0,0,0,0,0,0.131,0.308,0,0,0,0,0,0,0.511,0.220
230,-543.583176,0.007215,0.326,0.7,0,0,0,0,0,0,0.132,0.307,0,0,0,0,0,0,0.513,0.220
240,-521.620366,0.007678,0.327,0.673,0,0,0,0,0,0,0.132,0.306,0,0,0,0,0,0,0.500,0.219
250,-554.064748,0.007613,0.325,0.687,0,0,0,0,0,0,0.131,0.306,0,0,0,0,0,0,0.506,0.219
260,-542.216716,0.007478,0.315,0.692,0,0,0,0,0,0,0.129,0.308,0,0,0,0,0,0,0.504,0.219
270,-498.488773,0.007412,0.323,0.676,0,0,0,0,0,0,0.132,0.305,0,0,0,0,0,0,0.500,0.219
280,-497.894879,0.006893,0.323,0.703,0,0,0,0,0,0,0.132,0.31,0,0,0,0,0,0,0.513,0.221
290,-502.809163,0.006628,0.33,0.695,0,0,0,0,0,0,0.134,0.306,0,0,0,0,0,0,0.513,0.220
300,-505.419326,0.006445,0.326,0.693,0,0,0,0,0,0,0.132,0.309,0,0,0,0,0,0,0.510,0.221
