{0: 0.01, 50: 0.001, 100: 0.0001, 150: 1e-05},,,,,,,,,,,,,,,,,
['furnace1', 'refrigerator1'],,,,,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
logTest,mseTest,maeTest,,,,,,,,,,,,,,,,,,
-195.242534814,1.3792516215,0.5926110817,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,mse,mae
0,223.129317,9.692553,2.076,2.103,0,0,0,0,0,0,1.097,1.148,0,0,0,0,0,0,2.09,1.123
10,-177.502213,0.029408,0.559,0.953,0,0,0,0,0,0,0.286,0.469,0,0,0,0,0,0,0.756,0.378
20,-150.979457,0.007747,0.573,1.065,0,0,0,0,0,0,0.304,0.516,0,0,0,0,0,0,0.819,0.41
30,-222.127157,0.002737,0.45,0.799,0,0,0,0,0,0,0.225,0.41,0,0,0,0,0,0,0.625,0.318
40,-86.711377,0.010633,0.509,0.733,0,0,0,0,0,0,0.276,0.375,0,0,0,0,0,0,0.621,0.326
50,-102.085229,0.007006,1.153,0.986,0,0,0,0,0,0,0.655,0.501,0,0,0,0,0,0,1.07,0.578
60,-382.710616,0.001957,0.37,0.684,0,0,0,0,0,0,0.157,0.303,0,0,0,0,0,0,0.527,0.23
70,-419.958179,0.002711,0.331,0.722,0,0,0,0,0,0,0.142,0.304,0,0,0,0,0,0,0.527,0.223
80,-442.206824,0.002399,0.314,0.729,0,0,0,0,0,0,0.135,0.31,0,0,0,0,0,0,0.522,0.223
90,-439.466733,0.002396,0.309,0.703,0,0,0,0,0,0,0.133,0.309,0,0,0,0,0,0,0.506,0.221
100,-429.970744,0.002383,0.309,0.724,0,0,0,0,0,0,0.133,0.31,0,0,0,0,0,0,0.517,0.222
110,-468.860242,0.002478,0.305,0.703,0,0,0,0,0,0,0.128,0.302,0,0,0,0,0,0,0.504,0.215
120,-478.730959,0.002465,0.289,0.69,0,0,0,0,0,0,0.123,0.301,0,0,0,0,0,0,0.49,0.212
130,-483.668042,0.002445,0.289,0.72,0,0,0,0,0,0,0.122,0.304,0,0,0,0,0,0,0.505,0.213
140,-487.476664,0.002437,0.296,0.721,0,0,0,0,0,0,0.123,0.305,0,0,0,0,0,0,0.509,0.214
150,-490.56447,0.002429,0.292,0.727,0,0,0,0,0,0,0.122,0.304,0,0,0,0,0,0,0.51,0.213
160,-491.937574,0.002429,0.287,0.695,0,0,0,0,0,0,0.12,0.301,0,0,0,0,0,0,0.491,0.211
170,-492.777472,0.002423,0.283,0.701,0,0,0,0,0,0,0.118,0.303,0,0,0,0,0,0,0.492,0.211
180,-493.565085,0.002412,0.28,0.723,0,0,0,0,0,0,0.118,0.303,0,0,0,0,0,0,0.502,0.211
190,-494.293578,0.002398,0.283,0.713,0,0,0,0,0,0,0.119,0.303,0,0,0,0,0,0,0.498,0.211
200,-494.979586,0.002382,0.289,0.718,0,0,0,0,0,0,0.119,0.304,0,0,0,0,0,0,0.504,0.212
210,-495.628833,0.002365,0.291,0.693,0,0,0,0,0,0,0.12,0.299,0,0,0,0,0,0,0.492,0.21
220,-496.241617,0.002346,0.275,0.7,0,0,0,0,0,0,0.116,0.302,0,0,0,0,0,0,0.488,0.209
230,-496.824699,0.002326,0.276,0.722,0,0,0,0,0,0,0.116,0.302,0,0,0,0,0,0,0.499,0.209
240,-497.379737,0.002306,0.28,0.69,0,0,0,0,0,0,0.116,0.297,0,0,0,0,0,0,0.485,0.207
250,-497.932164,0.002284,0.281,0.703,0,0,0,0,0,0,0.117,0.303,0,0,0,0,0,0,0.492,0.21
260,-498.438322,0.002264,0.278,0.707,0,0,0,0,0,0,0.116,0.301,0,0,0,0,0,0,0.493,0.209
270,-498.921613,0.002243,0.277,0.706,0,0,0,0,0,0,0.116,0.303,0,0,0,0,0,0,0.492,0.21
280,-499.384846,0.002222,0.276,0.7,0,0,0,0,0,0,0.116,0.302,0,0,0,0,0,0,0.488,0.209
290,-499.831141,0.002201,0.275,0.703,0,0,0,0,0,0,0.115,0.301,0,0,0,0,0,0,0.489,0.208
300,-500.259376,0.002178,0.277,0.693,0,0,0,0,0,0,0.115,0.3,0,0,0,0,0,0,0.485,0.208
