{0: 0.01, 50: 0.001, 250: 1e-05, 150: 0.0001},,,,,,,,,,,,,,,,,
['furnace1', 'refrigerator1'],,,,,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
logTest,mseTest,maeTest,,,,,,,,,,,,,,,,,,
-327.848578605,1.1422515199,0.4866111087,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,mse,mae
0,225.08,11.51,2.108,2.18,0,0,0,0,0,0,1.11,1.165,0,0,0,0,0,0,2.144,1.138
10,-117.06,0.02,1.956,1.6,0,0,0,0,0,0,0.694,0.845,0,0,0,0,0,0,1.778,0.770
20,-281.07,0.01,0.551,0.832,0,0,0,0,0,0,0.245,0.396,0,0,0,0,0,0,0.692,0.321
30,-131.12,0.03,0.535,1.683,0,0,0,0,0,0,0.28,0.731,0,0,0,0,0,0,1.109,0.506
40,-274.89,0,0.339,1.022,0,0,0,0,0,0,0.164,0.538,0,0,0,0,0,0,0.681,0.351
50,-178.92,0.01,0.454,1.293,0,0,0,0,0,0,0.226,0.675,0,0,0,0,0,0,0.874,0.451
60,-383.17,0,0.319,1.079,0,0,0,0,0,0,0.141,0.552,0,0,0,0,0,0,0.699,0.347
70,-378.9,0,0.329,1.07,0,0,0,0,0,0,0.146,0.551,0,0,0,0,0,0,0.700,0.349
80,-331.9,0,0.354,1.038,0,0,0,0,0,0,0.157,0.539,0,0,0,0,0,0,0.696,0.348
90,-387.59,0,0.323,1.006,0,0,0,0,0,0,0.144,0.518,0,0,0,0,0,0,0.665,0.331
100,-383.63,0.01,0.313,0.99,0,0,0,0,0,0,0.141,0.5,0,0,0,0,0,0,0.652,0.321
110,-402.87,0,0.31,0.979,0,0,0,0,0,0,0.141,0.495,0,0,0,0,0,0,0.645,0.318
120,-405.5,0.01,0.305,0.943,0,0,0,0,0,0,0.139,0.485,0,0,0,0,0,0,0.624,0.312
130,-411.44,0.01,0.3,0.933,0,0,0,0,0,0,0.137,0.481,0,0,0,0,0,0,0.617,0.309
140,-412.73,0.01,0.297,0.906,0,0,0,0,0,0,0.135,0.475,0,0,0,0,0,0,0.602,0.305
150,-415.3,0,0.292,0.875,0,0,0,0,0,0,0.133,0.462,0,0,0,0,0,0,0.584,0.298
160,-445.95,0,0.277,0.841,0,0,0,0,0,0,0.126,0.432,0,0,0,0,0,0,0.559,0.279
170,-454.77,0,0.268,0.797,0,0,0,0,0,0,0.122,0.417,0,0,0,0,0,0,0.533,0.270
180,-457.79,0,0.268,0.788,0,0,0,0,0,0,0.121,0.412,0,0,0,0,0,0,0.528,0.267
190,-459.6,0,0.269,0.784,0,0,0,0,0,0,0.121,0.409,0,0,0,0,0,0,0.527,0.265
200,-461.37,0,0.261,0.772,0,0,0,0,0,0,0.118,0.406,0,0,0,0,0,0,0.517,0.262
210,-463.33,0,0.266,0.759,0,0,0,0,0,0,0.12,0.402,0,0,0,0,0,0,0.513,0.261
220,-466.72,0,0.268,0.748,0,0,0,0,0,0,0.12,0.397,0,0,0,0,0,0,0.508,0.259
230,-473.03,0,0.27,0.749,0,0,0,0,0,0,0.121,0.392,0,0,0,0,0,0,0.510,0.257
240,-479.29,0,0.268,0.744,0,0,0,0,0,0,0.12,0.388,0,0,0,0,0,0,0.506,0.254
250,-487.77,0,0.269,0.73,0,0,0,0,0,0,0.12,0.38,0,0,0,0,0,0,0.500,0.250
260,-494.69,0.01,0.275,0.716,0,0,0,0,0,0,0.123,0.376,0,0,0,0,0,0,0.496,0.250
270,-497.71,0.01,0.276,0.71,0,0,0,0,0,0,0.122,0.372,0,0,0,0,0,0,0.493,0.247
280,-507.56,0.01,0.289,0.704,0,0,0,0,0,0,0.126,0.37,0,0,0,0,0,0,0.497,0.248
290,-516.07,0.01,0.279,0.709,0,0,0,0,0,0,0.124,0.371,0,0,0,0,0,0,0.494,0.248
300,-518.38,0.01,0.295,0.694,0,0,0,0,0,0,0.128,0.37,0,0,0,0,0,0,0.495,0.249
