logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest,,
{0: 0.01, 50: 0.001, 250: 1e-05, 150: 0.0001},,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1'],,,,,,,,,,,,,,,,,,
-459.06,176.523,25.909,8.289,0,0,0,0,0,150.841,65.454,51.587,0,0,0,0,0,70.24,89.294,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,329.44,13.34,2.007,2.091,2.01,0,0,0,0,0,1.053,1.111,1.129,0,0,0,0,0,2.04,1.098
10,-136.77,0.22,0.466,0.408,1.815,0,0,0,0,0,0.195,0.429,0.946,0,0,0,0,0,0.90,0.523
20,-190.39,0.31,0.651,0.249,1.416,0,0,0,0,0,0.445,0.177,0.747,0,0,0,0,0,0.77,0.456
30,-438.51,0.01,0.429,0.211,1.045,0,0,0,0,0,0.208,0.12,0.534,0,0,0,0,0,0.56,0.287
40,-323.87,0.01,0.428,0.263,1.233,0,0,0,0,0,0.208,0.157,0.662,0,0,0,0,0,0.64,0.342
50,-300.39,0.14,0.434,0.299,1.281,0,0,0,0,0,0.219,0.17,0.706,0,0,0,0,0,0.67,0.365
60,-706.57,0.01,0.32,0.205,1.097,0,0,0,0,0,0.137,0.096,0.522,0,0,0,0,0,0.54,0.252
70,-750.44,0.01,0.302,0.2,1.063,0,0,0,0,0,0.128,0.093,0.509,0,0,0,0,0,0.52,0.243
80,-765.14,0.01,0.295,0.191,1.041,0,0,0,0,0,0.125,0.089,0.5,0,0,0,0,0,0.51,0.238
90,-770.61,0.01,0.286,0.194,1.029,0,0,0,0,0,0.121,0.088,0.492,0,0,0,0,0,0.50,0.234
100,-781.21,0.01,0.291,0.187,1.01,0,0,0,0,0,0.121,0.087,0.485,0,0,0,0,0,0.50,0.231
