{0: 0.01, 100: 0.0001, 30: 0.001},,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1'],,,,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest,,
-216.933,192.864,39.288,9.349,0,0,0,0,0,167.332,108.254,65.391,0,0,0,0,0,80.5,113.659,,
,,,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,328.37,14.07,1.941,2.038,2.016,0,0,0,0,0,1.031,1.089,1.128,0,0,0,0,0,1.998,1.083
10,-191.56,0.41,0.414,0.41,1.618,0,0,0,0,0,0.206,0.386,0.857,0,0,0,0,0,0.814,0.483
20,-271.02,0.01,0.366,0.567,1.235,0,0,0,0,0,0.159,0.319,0.61,0,0,0,0,0,0.723,0.363
30,-415,0.01,0.478,0.359,0.909,0,0,0,0,0,0.2,0.216,0.453,0,0,0,0,0,0.582,0.290
40,-664.42,0.01,0.388,0.334,0.813,0,0,0,0,0,0.147,0.198,0.392,0,0,0,0,0,0.512,0.246
50,-546.27,0.01,0.388,0.318,0.845,0,0,0,0,0,0.15,0.191,0.401,0,0,0,0,0,0.517,0.247
60,-711.43,0.01,0.38,0.31,0.832,0,0,0,0,0,0.146,0.176,0.398,0,0,0,0,0,0.507,0.240
70,-723.84,0.01,0.394,0.301,0.822,0,0,0,0,0,0.149,0.168,0.396,0,0,0,0,0,0.506,0.238
80,-695.64,0.01,0.403,0.305,0.896,0,0,0,0,0,0.154,0.166,0.415,0,0,0,0,0,0.535,0.245
90,-654.28,0.01,0.41,0.305,0.892,0,0,0,0,0,0.157,0.162,0.418,0,0,0,0,0,0.536,0.246
100,-729.3,0.01,0.408,0.32,0.949,0,0,0,0,0,0.155,0.158,0.427,0,0,0,0,0,0.559,0.247
110,-748.51,0.01,0.402,0.31,0.965,0,0,0,0,0,0.154,0.151,0.439,0,0,0,0,0,0.559,0.248
120,-766.77,0.01,0.399,0.321,1.014,0,0,0,0,0,0.156,0.155,0.455,0,0,0,0,0,0.578,0.255
130,-638.83,0.01,0.418,0.346,1.105,0,0,0,0,0,0.162,0.168,0.488,0,0,0,0,0,0.623,0.273
140,-402.8,0,0.404,0.373,1.078,0,0,0,0,0,0.156,0.175,0.474,0,0,0,0,0,0.618,0.268
150,-438.42,0,0.445,0.609,1.086,0,0,0,0,0,0.173,0.333,0.491,0,0,0,0,0,0.713,0.332
