{0: 0.01, 100: 0.0001, 30: 0.001},,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1'],,,,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest,,
-168.173,141.087,21.075,6.919,0,0,0,0,0,137.392,52.507,51.526,0,0,0,0,0,56.36,80.475,,
,,,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,330.26,25.76,2.016,2.023,2.031,0,0,0,0,0,1.054,1.085,1.135,0,0,0,0,0,2.023,1.091
10,349.06,0.01,0.391,0.355,1.616,0,0,0,0,0,0.183,0.352,0.837,0,0,0,0,0,0.787,0.457
20,10.61,0,0.878,0.308,1.3,0,0,0,0,0,0.67,0.181,0.697,0,0,0,0,0,0.829,0.516
30,-267.22,0,0.712,0.266,1.484,0,0,0,0,0,0.454,0.13,0.786,0,0,0,0,0,0.821,0.457
40,-616.39,0,0.399,0.211,1.135,0,0,0,0,0,0.171,0.098,0.587,0,0,0,0,0,0.582,0.285
50,-383.64,0,0.399,0.191,1.107,0,0,0,0,0,0.188,0.09,0.57,0,0,0,0,0,0.566,0.283
