{0: 0.01, 10: 0.001},,,,,,,,,,,,,,,,,,,
['furnace1', 'refrigerator1', 'clotheswasher1'],,,,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest,,
,0,0.994,0.882,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,
-373.657,22.555,7.3,0.324,0,0,0,0,0,56.074,56.947,2.215,0,0,0,0,0,10.059,38.412,,
,,,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,328.51,20.31,2.053,2.214,2.104,0,0,0,0,0,1.098,1.172,0.921,0,0,0,0,0,2.124,1.064
10,-269.59,0.01,2.079,1.526,1.497,0,0,0,0,0,0.706,0.795,0.336,0,0,0,0,0,1.701,0.612
20,-670.06,0,0.595,1.001,1.433,0,0,0,0,0,0.224,0.524,0.288,0,0,0,0,0,1.010,0.345
30,-316.77,0,0.57,0.966,1.435,0,0,0,0,0,0.226,0.513,0.259,0,0,0,0,0,0.990,0.333
40,-736.92,0,0.53,0.976,1.369,0,0,0,0,0,0.207,0.518,0.231,0,0,0,0,0,0.958,0.319
50,-681.73,0,0.544,0.978,2.197,0,0,0,0,0,0.224,0.511,0.329,0,0,0,0,0,1.240,0.355
60,-254.71,0,0.515,1.021,2.427,0,0,0,0,0,0.214,0.51,0.922,0,0,0,0,0,1.321,0.549
70,-538.21,0,0.465,1.05,1,0,0,0,0,0,0.196,0.521,0.138,0,0,0,0,0,0.838,0.285
80,-690.81,0,0.424,1.091,1.042,0,0,0,0,0,0.18,0.53,0.116,0,0,0,0,0,0.852,0.275
90,-648.85,0,0.4,1.04,1.046,0,0,0,0,0,0.172,0.51,0.117,0,0,0,0,0,0.829,0.266
100,-551.67,0,0.391,1.1,1.058,0,0,0,0,0,0.171,0.56,0.128,0,0,0,0,0,0.850,0.286
