{0: 0.01, 10: 0.001},,,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1'],,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest,,
,0,1.016,0.951,0.771,0.844,0.541,1.124,1.16,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,
-184.089,203.109,36.095,8.928,0.506,116.464,1.017,0.005,4.314,198.41,94.138,68.534,5.986,64.192,15.339,1.033,10.8,46.305,57.304,,
,,,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,630.56,37.17,2.109,2.129,2.092,1.855,1.901,2.122,1.907,1.891,1.067,1.108,1.147,0.883,0.895,1.155,0.9,0.891,2.001,1.006
2,-197.61,0.35,1.863,1.826,1.849,1.487,1.082,1.158,1.4,0.92,0.607,0.673,0.982,0.322,0.195,0.902,0.545,0.216,1.448,0.555
