{0: 0.01, 10: 0.001},,,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1'],,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest,,
,0,0.998,0.989,1.175,3.426,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,
-85.059,183.359,35.088,8.901,6.829,2347.159,0,0,0,200.79,93.499,66.892,41.533,943.467,0,0,0,516.267,269.236,,
,,,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,405.52,31.54,2.11,2.127,2.159,2.039,1.927,0,0,0,1.065,1.109,1.154,0.917,0.913,0,0,0,2.072,1.0316
9,-411.39,0.04,0.805,0.497,1.912,1.656,0.969,0,0,0,0.326,0.256,0.987,0.553,0.163,0,0,0,1.168,0.457
19,-891.08,0.01,0.556,0.469,2.353,1.189,0.921,0,0,0,0.204,0.201,1.093,0.18,0.085,0,0,0,1.098,0.3526
28,-892.22,0.01,0.48,0.409,2.262,1.362,0.957,0,0,0,0.177,0.173,1.05,0.225,0.082,0,0,0,1.094,0.3414
38,-609.3,0.01,0.493,0.41,2.227,2.487,1.042,0,0,0,0.188,0.18,1.04,0.923,0.099,0,0,0,1.332,0.486
47,-706.61,0.01,0.448,0.417,2.244,0.859,1.223,0,0,0,0.174,0.182,1.028,0.325,0.111,0,0,0,1.038,0.364
57,-840.91,0,0.461,0.379,2.248,0.779,1.295,0,0,0,0.179,0.171,1.039,0.221,0.121,0,0,0,1.032,0.3462
66,-293.44,0,0.456,0.461,2.169,0.764,1.247,0,0,0,0.18,0.213,1.011,0.247,0.107,0,0,0,1.019,0.3516
76,-914.35,0,0.455,0.438,2.135,0.825,1.103,0,0,0,0.172,0.196,0.999,0.205,0.096,0,0,0,0.991,0.3336
85,-995.68,0,0.453,0.414,2.128,0.761,1.257,0,0,0,0.171,0.185,0.998,0.157,0.102,0,0,0,1.003,0.3226
95,-1090.45,0,0.455,0.392,2.156,0.832,1.19,0,0,0,0.171,0.176,1,0.129,0.097,0,0,0,1.005,0.3146
104,-507.95,0,0.525,0.701,2.129,1.541,1.338,0,0,0,0.195,0.505,0.994,0.299,0.113,0,0,0,1.247,0.4212
114,-632.39,0,0.514,0.856,2.028,0.933,1.398,0,0,0,0.205,0.349,0.974,0.201,0.136,0,0,0,1.146,0.373
123,-357.86,0,0.859,0.518,1.975,0.632,1.651,0,0,0,0.347,0.329,0.969,0.167,0.247,0,0,0,1.127,0.4118
133,-752.43,0,0.638,0.325,1.936,0.632,1.167,0,0,0,0.233,0.159,0.942,0.093,0.122,0,0,0,0.940,0.3098
142,-825.19,0,0.611,0.302,1.923,0.759,1.654,0,0,0,0.218,0.145,0.929,0.097,0.191,0,0,0,1.050,0.316
152,-936.02,0,0.618,0.306,1.943,0.82,1.355,0,0,0,0.219,0.145,0.933,0.097,0.145,0,0,0,1.008,0.3078
161,-916.76,0,0.603,0.293,1.918,0.855,1.111,0,0,0,0.213,0.14,0.921,0.1,0.136,0,0,0,0.956,0.302
171,-742.71,0,0.611,0.301,1.896,0.91,1.13,0,0,0,0.217,0.144,0.917,0.103,0.121,0,0,0,0.970,0.3004
180,-892.51,0,0.622,0.318,1.898,0.894,1.506,0,0,0,0.223,0.151,0.915,0.097,0.139,0,0,0,1.048,0.305
190,-526.79,0,0.618,0.304,1.86,0.916,5.231,0,0,0,0.214,0.141,0.898,0.1,0.696,0,0,0,1.786,0.4098
200,-792.54,0,0.606,0.327,1.899,0.964,0.94,0,0,0,0.216,0.159,0.902,0.111,0.136,0,0,0,0.947,0.3048
