{0: 0.01, 10: 0.001, 100: 0.0001},,,,,,,,,,,,,,,,,,
['furnace1', 'refrigerator1', 'clotheswasher1'],,,,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest,,
,1.233,1.485,1.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,
-318.093,25.05,6.989,0.374,0,0,0,0,0,62.969,50.982,2.132,0,0,0,0,0,10.804,38.694,,
,,,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,241.69,17.02,2.087,2.149,1.861,0,0,0,0,0,1.102,1.162,0.894,0,0,0,0,0,2.032,1.053
7,-274.3,0.02,1.271,1.152,0.645,0,0,0,0,0,0.476,0.582,0.122,0,0,0,0,0,1.023,0.393
15,-565.55,0.01,0.387,0.759,0.418,0,0,0,0,0,0.169,0.365,0.064,0,0,0,0,0,0.521,0.199
22,-509.82,0.01,0.349,0.81,0.428,0,0,0,0,0,0.157,0.387,0.063,0,0,0,0,0,0.529,0.202
30,-618.27,0.01,0.338,0.815,0.461,0,0,0,0,0,0.153,0.389,0.062,0,0,0,0,0,0.538,0.201
38,-552.81,0.01,0.355,0.837,0.472,0,0,0,0,0,0.159,0.395,0.065,0,0,0,0,0,0.555,0.206
45,-587.88,0.01,0.329,0.856,0.481,0,0,0,0,0,0.15,0.395,0.064,0,0,0,0,0,0.555,0.203
53,-607.59,0.01,0.313,0.825,0.467,0,0,0,0,0,0.142,0.386,0.063,0,0,0,0,0,0.535,0.197
60,-605.77,0.01,0.292,0.821,0.438,0,0,0,0,0,0.133,0.384,0.061,0,0,0,0,0,0.517,0.193
68,-624.79,0.01,0.286,0.81,0.457,0,0,0,0,0,0.129,0.379,0.061,0,0,0,0,0,0.518,0.190
76,-622.71,0.01,0.303,0.795,0.459,0,0,0,0,0,0.133,0.375,0.063,0,0,0,0,0,0.519,0.190
83,-612.05,0.01,0.314,0.773,0.484,0,0,0,0,0,0.138,0.367,0.064,0,0,0,0,0,0.524,0.190
91,-594.51,0.01,0.356,0.863,0.456,0,0,0,0,0,0.161,0.42,0.062,0,0,0,0,0,0.558,0.214
99,-631.59,0.01,0.336,0.859,0.469,0,0,0,0,0,0.153,0.407,0.065,0,0,0,0,0,0.555,0.208
100,-449.14,0.01,0.349,0.874,0.477,0,0,0,0,0,0.166,0.419,0.065,0,0,0,0,0,0.567,0.217
