{0: 0.001},,,,,,,,,,,,,,,,,,,,
['furnace1', 'refrigerator1', 'clotheswasher1'],,,,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest,,
,0.533,1.059,0.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,
-418.41,10.805,4.925,0.234,0,0,0,0,0,34.631,35.404,1.831,0,0,0,0,0,5.321,23.955,,
,,,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,254.94,13.95,2.068,2.045,2.441,0,0,0,0,0,1.099,1.136,0.918,0,0,0,0,0,2.185,1.051
10,-97.13,2.55,1.571,1.628,1.753,0,0,0,0,0,0.784,0.85,0.432,0,0,0,0,0,1.651,0.689
20,-320.23,0.8,1.144,1.334,1.451,0,0,0,0,0,0.41,0.671,0.205,0,0,0,0,0,1.310,0.429
30,-317.11,4.79,1.303,1.375,1.373,0,0,0,0,0,0.498,0.693,0.189,0,0,0,0,0,1.350,0.460
40,-274.71,12.59,1.041,1.234,1.381,0,0,0,0,0,0.412,0.604,0.166,0,0,0,0,0,1.219,0.394
50,-84.43,5.66,1.282,1.24,1.523,0,0,0,0,0,0.622,0.597,0.181,0,0,0,0,0,1.348,0.467
60,-304.94,0.67,1.283,1.333,1.203,0,0,0,0,0,0.535,0.643,0.153,0,0,0,0,0,1.273,0.444
70,-452.38,0.4,0.968,1.18,1.169,0,0,0,0,0,0.365,0.592,0.134,0,0,0,0,0,1.106,0.364
80,-327.73,0.35,0.82,1.162,1.35,0,0,0,0,0,0.318,0.559,0.235,0,0,0,0,0,1.111,0.371
90,-207.59,2.34,0.68,1.155,1.587,0,0,0,0,0,0.274,0.558,0.41,0,0,0,0,0,1.141,0.414
100,-468.52,0.25,0.697,1.054,1.224,0,0,0,0,0,0.271,0.513,0.151,0,0,0,0,0,0.992,0.312
110,-38.73,2.52,0.711,1.146,1.188,0,0,0,0,0,0.29,0.563,0.173,0,0,0,0,0,1.015,0.342
120,-493.2,0.16,0.653,1.057,1.092,0,0,0,0,0,0.262,0.499,0.129,0,0,0,0,0,0.934,0.297
130,-361.73,5.59,0.703,1.268,1.102,0,0,0,0,0,0.274,0.644,0.145,0,0,0,0,0,1.024,0.354
140,-430.62,0.27,0.55,1.14,1.028,0,0,0,0,0,0.224,0.533,0.132,0,0,0,0,0,0.906,0.296
150,-384.3,2.84,0.528,1.235,1.019,0,0,0,0,0,0.227,0.631,0.132,0,0,0,0,0,0.927,0.330
160,-251.54,0.35,0.561,1.189,1.1,0,0,0,0,0,0.223,0.606,0.167,0,0,0,0,0,0.950,0.332
170,-318.36,0.47,0.539,1.106,1.025,0,0,0,0,0,0.221,0.599,0.182,0,0,0,0,0,0.890,0.334
180,-358.7,0.42,0.583,1.055,1.028,0,0,0,0,0,0.264,0.52,0.124,0,0,0,0,0,0.889,0.303
190,-485.34,0.15,0.592,0.995,1.018,0,0,0,0,0,0.235,0.492,0.116,0,0,0,0,0,0.868,0.281
200,-416.08,0.4,0.552,1.057,1.031,0,0,0,0,0,0.252,0.521,0.125,0,0,0,0,0,0.880,0.299
