{0: 0.001},,,,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1'],,,,,,,,,,,,,
{8292: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest,,
,0.467,0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,
-307.144,524.67,41.606,0,0,0,0,0,0,245.974,94.142,0,0,0,0,0,0,283.138,170.058,,
,,,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,283.12,51.76,2.06,2.044,0,0,0,0,0,0,1.136,1.157,0,0,0,0,0,0,2.052,1.147
18,-80.23,3.19,0.881,0.787,0,0,0,0,0,0,0.597,0.472,0,0,0,0,0,0,0.834,0.535
37,-236.54,4.64,0.527,0.655,0,0,0,0,0,0,0.312,0.403,0,0,0,0,0,0,0.591,0.358
56,-175.84,4.63,0.465,0.626,0,0,0,0,0,0,0.278,0.398,0,0,0,0,0,0,0.546,0.338
75,28.29,3.11,0.475,0.686,0,0,0,0,0,0,0.269,0.505,0,0,0,0,0,0,0.581,0.387
93,-191.71,5.45,0.441,0.574,0,0,0,0,0,0,0.238,0.38,0,0,0,0,0,0,0.508,0.309
112,-467.86,3.38,0.351,0.482,0,0,0,0,0,0,0.22,0.314,0,0,0,0,0,0,0.417,0.267
131,-483.58,4.16,0.3,0.426,0,0,0,0,0,0,0.184,0.284,0,0,0,0,0,0,0.363,0.234
150,-493.45,4.84,0.269,0.408,0,0,0,0,0,0,0.165,0.279,0,0,0,0,0,0,0.339,0.222
168,-396.72,2.93,0.554,0.621,0,0,0,0,0,0,0.289,0.383,0,0,0,0,0,0,0.588,0.336
187,-500.44,2.99,0.397,0.508,0,0,0,0,0,0,0.216,0.323,0,0,0,0,0,0,0.453,0.270
200,-312.7,3.66,0.352,0.461,0,0,0,0,0,0,0.19,0.306,0,0,0,0,0,0,0.407,0.248
