{0: 0.001, 100: 0.0005},,,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1'],,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest,,
,95.246,610.095,1302.938,1534.6,1529.103,0.744,0.003,4.483,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,
-2693.431,814.763,12.685,6.14,0.502,130.681,781.801,880.313,1331.31,257.51,36.005,42.313,2.696,35.586,41.905,364.814,72.817,494.774,106.706,,
,,,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,1062.15,93.17,2.018,2.024,2.208,2.089,2.204,2.017,1.997,2.192,1.053,1.087,1.179,0.94,0.918,1.125,0.899,0.911,2.094,1.01
6,-504.48,4.59,1.376,1.501,1.861,0.999,1.114,1.04,1.223,1.155,0.438,0.57,0.969,0.236,0.179,0.904,0.433,0.173,1.284,0.49
12,-829.97,4.06,1.408,1.546,1.8,0.947,1.189,0.957,1.393,1.115,0.47,0.599,0.959,0.131,0.165,0.884,0.447,0.17,1.294,0.48
18,-1052,5.88,1.138,1.742,1.742,1.005,1.173,0.987,1.22,1.105,0.363,0.83,0.93,0.13,0.19,0.879,0.383,0.12,1.264,0.48
24,-1336.75,8.33,0.989,1.306,1.709,1.048,1.126,0.97,1.278,1.134,0.321,0.689,0.918,0.145,0.115,0.89,0.462,0.13,1.195,0.46
30,-688.34,4.6,1.16,0.915,1.707,0.988,1.125,1.018,1.192,1.221,0.512,0.344,0.904,0.11,0.114,0.887,0.379,0.169,1.166,0.43
36,-1618.82,2.36,0.95,0.9,1.725,1.059,1.204,0.984,1.365,1.194,0.339,0.357,0.906,0.224,0.124,0.887,0.424,0.132,1.173,0.42
43,-834.01,3.59,0.956,1.03,1.687,1.086,1.217,1.017,1.344,1.206,0.337,0.56,0.888,0.182,0.122,0.898,0.451,0.139,1.193,0.45
49,-1708.1,1.01,0.939,0.863,1.656,1.049,1.321,1.05,1.362,1.191,0.309,0.398,0.859,0.152,0.134,0.898,0.453,0.13,1.179,0.42
55,-778.75,1.27,1.035,1.12,1.672,1.721,1.268,1.095,2.587,1.244,0.413,0.584,0.861,0.335,0.133,0.906,0.818,0.145,1.468,0.52
