{0: 0.001}
['furnace1', 'refrigerator1', 'clotheswasher1']
{6990: ('2015-01-01', '2016-01-01')}

logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
Unnorm,131.431,11.680,0.000,0.000,0.000,0.000,0.000,0.000,236.270,79.595,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0

90.759,2.001,1.956,0.000,0.000,0.000,0.000,0.000,0.000,0.922,1.030,0.000,0.000,0.000,0.000,0.000,0.000,1.979,0.976

relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5
1.18135023503,-5.1549581921,0.0,0.0,0.0,0.0,0.0,0.0,5.92079352068,6.49059288548,0.0,0.0,0.0,0.0,0.0,0.0
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
500,500,500,200,200,200
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8
0,169.74,13.77,2.074,2.157,0.000,0.000,0.000,0.000,0.000,0.000,1.139,1.148,0.000,0.000,0.000,0.000,0.000,0.000
1,91.70,0.43,2.035,1.942,0.000,0.000,0.000,0.000,0.000,0.000,0.933,1.028,0.000,0.000,0.000,0.000,0.000,0.000
