{0: 0.001, 10: 0.0001, 100: 1e-05}
['furnace1', 'refrigerator1', 'clotheswasher1']
{2859: ('2015-01-01', '2016-01-01')}

logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
Unnorm,43.224,8.401,0.000,0.000,0.000,0.000,0.000,0.000,102.546,67.401,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0

8.230,2.134,1.805,0.000,0.000,0.000,0.000,0.000,0.000,0.721,0.988,0.000,0.000,0.000,0.000,0.000,0.000,1.970,0.854

relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5
-4.54003938264,6.27694245372,0.0,0.0,0.0,0.0,0.0,0.0,-14.0004483923,-19.7405615385,0.0,0.0,0.0,0.0,0.0,0.0
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
500,500,500,200,200,200
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8
0,167.86,15.64,2.109,2.031,0.000,0.000,0.000,0.000,0.000,0.000,1.112,1.135,0.000,0.000,0.000,0.000,0.000,0.000
1,7.15,0.80,2.210,1.646,0.000,0.000,0.000,0.000,0.000,0.000,0.743,0.957,0.000,0.000,0.000,0.000,0.000,0.000
