{0: 0.001}
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1']
{6990: ('2015-01-01', '2016-01-01')}

logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
Unnorm,1520.994,128.670,0.000,0.000,0.000,0.000,0.000,0.000,586.960,213.607,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0

-29.937,1.881,1.969,0.000,0.000,0.000,0.000,0.000,0.000,0.653,0.836,0.000,0.000,0.000,0.000,0.000,0.000,1.925,0.744

relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5
55.25089299,5.63338913184,0.0,0.0,0.0,0.0,0.0,0.0,0.670292870009,0.623428632951,0.0,0.0,0.0,0.0,0.0,0.0
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
500,500,500,200,200,200
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8
0,167.94,24.98,2.012,2.090,0.000,0.000,0.000,0.000,0.000,0.000,1.093,1.141,0.000,0.000,0.000,0.000,0.000,0.000
1,-33.86,1.56,1.804,1.921,0.000,0.000,0.000,0.000,0.000,0.000,0.634,0.821,0.000,0.000,0.000,0.000,0.000,0.000
