{0: 0.001, 100: 0.0001}
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1']
{8292: ('2015-01-01', '2016-01-01')}

logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
-1998.789,0.711,0.064,0.008,0.012,0.427,0.023,0.018,0.008,0.331,0.131,0.050,0.019,0.103,0.033,0.022,0.008,0.159,0.087

relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5
-0.0985231364148,0.0193754928122,-0.0590981030137,-1.45010604957,-0.524588581094,-0.577540781947,-0.661734218228,-0.552464079079,0.839784795026,0.936567607024,0.976053180668,0.990597449989,0.950513242347,0.984045681567,0.98935373858,0.996066714518
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
500,500,500,200,200,200
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8
0,518.94,23.59,2.925,1.209,1.153,1.111,1.431,1.060,1.128,1.111,1.295,0.874,0.852,0.836,0.893,0.818,0.843,0.838
10,-512.43,1.11,2.471,0.147,0.013,0.111,0.587,0.031,0.033,0.035,0.996,0.289,0.067,0.262,0.200,0.081,0.080,0.094
20,-489.99,11.39,2.547,0.117,0.013,0.063,0.467,0.058,0.084,0.022,1.068,0.256,0.063,0.203,0.202,0.157,0.160,0.042
30,-698.58,6.07,2.053,0.117,0.011,0.039,0.542,0.030,0.036,0.023,0.845,0.237,0.059,0.098,0.180,0.089,0.067,0.036
40,-747.22,3.36,1.628,0.098,0.016,0.137,0.524,0.033,0.042,0.027,0.731,0.210,0.065,0.347,0.164,0.065,0.074,0.043
50,-1073.72,2.57,1.076,0.074,0.013,0.212,0.572,0.032,0.036,0.024,0.488,0.155,0.057,0.348,0.162,0.068,0.048,0.036
60,-1009.34,4.26,1.146,0.127,0.017,0.124,0.580,0.038,0.072,0.030,0.514,0.238,0.062,0.234,0.174,0.066,0.144,0.041
70,-925.36,15.03,1.628,0.129,0.017,0.066,0.701,0.037,0.039,0.027,0.805,0.252,0.062,0.147,0.190,0.063,0.063,0.037
80,-815.51,4.01,1.384,0.108,0.011,0.058,0.553,0.031,0.031,0.019,0.626,0.231,0.050,0.110,0.144,0.054,0.046,0.029
90,-1236.50,12.58,1.102,0.085,0.012,0.030,0.521,0.029,0.028,0.017,0.488,0.170,0.051,0.058,0.139,0.047,0.044,0.025
100,-1450.67,2.54,0.862,0.073,0.010,0.023,0.558,0.029,0.034,0.014,0.403,0.155,0.053,0.043,0.138,0.046,0.044,0.022
110,-1877.88,0.75,0.867,0.067,0.007,0.013,0.445,0.022,0.022,0.010,0.380,0.136,0.044,0.022,0.105,0.031,0.026,0.010
120,-1930.55,0.81,0.857,0.068,0.007,0.012,0.413,0.021,0.020,0.009,0.377,0.136,0.046,0.019,0.098,0.030,0.024,0.009
130,-1905.10,0.76,0.826,0.068,0.007,0.011,0.421,0.021,0.021,0.010,0.369,0.137,0.047,0.019,0.100,0.031,0.024,0.010
140,-1921.71,0.79,0.815,0.067,0.007,0.012,0.415,0.021,0.021,0.009,0.364,0.137,0.048,0.020,0.098,0.030,0.024,0.010
150,-1955.39,0.81,0.804,0.067,0.007,0.011,0.409,0.021,0.021,0.009,0.363,0.136,0.048,0.019,0.097,0.030,0.023,0.009
160,-1958.42,1.78,0.778,0.067,0.008,0.013,0.426,0.021,0.020,0.009,0.357,0.138,0.050,0.020,0.101,0.030,0.024,0.009
170,-1985.35,0.86,0.790,0.066,0.008,0.012,0.433,0.021,0.020,0.009,0.360,0.137,0.049,0.019,0.103,0.031,0.023,0.009
180,-2035.12,3.26,0.762,0.066,0.008,0.012,0.431,0.021,0.020,0.009,0.350,0.136,0.049,0.019,0.102,0.030,0.023,0.008
190,-2015.74,0.92,0.770,0.066,0.007,0.012,0.430,0.021,0.020,0.009,0.353,0.135,0.049,0.019,0.102,0.031,0.022,0.008
200,-1984.74,1.05,0.753,0.066,0.008,0.012,0.437,0.022,0.020,0.009,0.350,0.137,0.050,0.019,0.104,0.031,0.022,0.008
