{0: 0.001},,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1'],,,,,,,,,,,
{6990: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
-991.636,0.356,0.094,0.022,0.003,0.968,0.018,0.01,0.018,0.242,0.288,0.103,0.013,0.21,0.032,0.025,0.032,0.186,0.118
,,,,,,,,,,,,,,,,,,
relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5,,,,,,
-0.222378203,0.5929901889,-0.5012011796,-0.3411397771,0.4592650414,0.3923803336,0.8039327015,-0.786498894,0.8249768649,0.7907153007,0.9252774643,0.9902420636,0.8482818193,0.9772128171,0.981851037,0.9764774971,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8
0,479.04,17.64,1.435,1.225,1.116,1.114,1.364,1.056,1.136,1.17,0.943,0.881,0.839,0.837,0.885,0.816,0.847,0.859
10,-682.97,8.31,0.609,0.021,0.019,0.004,0.284,0.061,0.046,0.006,0.436,0.077,0.091,0.037,0.118,0.123,0.166,0.03
20,-864.68,3.66,0.548,0.017,0.02,0.017,0.315,0.028,0.006,0.091,0.38,0.068,0.086,0.087,0.18,0.051,0.027,0.198
31,-36.59,30.06,0.47,0.031,0.017,0.056,0.359,0.192,0.007,0.023,0.333,0.138,0.085,0.135,0.304,0.374,0.028,0.05
41,-794.22,2.2,0.341,0.018,0.018,0.052,0.526,0.109,0.026,0.023,0.266,0.066,0.092,0.118,0.238,0.296,0.084,0.051
51,-912.1,3.31,0.247,0.04,0.018,0.026,0.423,0.119,0.009,0.016,0.207,0.121,0.087,0.081,0.149,0.219,0.03,0.038
62,-698.16,6.21,0.282,0.021,0.018,0.065,0.372,0.084,0.052,0.015,0.294,0.074,0.089,0.172,0.098,0.156,0.129,0.05
72,-994.33,1.52,0.227,0.013,0.012,0.015,0.284,0.03,0.056,0.006,0.194,0.054,0.071,0.035,0.091,0.048,0.207,0.016
83,-958.93,5.63,0.194,0.011,0.012,0.011,0.346,0.03,0.026,0.009,0.209,0.049,0.067,0.044,0.112,0.058,0.051,0.041
93,-827.85,1.79,0.226,0.022,0.014,0.024,0.352,0.027,0.02,0.367,0.235,0.071,0.073,0.109,0.101,0.061,0.039,0.478
103,-1366.38,0.85,0.165,0.016,0.014,0.007,0.296,0.022,0.013,0.041,0.138,0.06,0.071,0.031,0.077,0.039,0.03,0.079
114,-1436.3,14.64,0.181,0.016,0.031,0.004,0.246,0.02,0.011,0.023,0.142,0.057,0.118,0.02,0.066,0.032,0.026,0.082
124,-1534.33,0.28,0.166,0.02,0.03,0.003,0.227,0.017,0.008,0.011,0.132,0.062,0.082,0.015,0.062,0.029,0.016,0.028
134,-981.78,3.42,0.164,0.019,0.051,0.003,0.326,0.017,0.007,0.011,0.139,0.062,0.164,0.017,0.151,0.027,0.018,0.038
145,-1512.23,1.61,0.148,0.018,0.021,0.003,0.233,0.018,0.007,0.011,0.129,0.061,0.07,0.017,0.073,0.03,0.019,0.025
155,-1550.68,1.08,0.145,0.02,0.016,0.003,0.216,0.016,0.005,0.119,0.123,0.06,0.057,0.013,0.058,0.026,0.012,0.231
166,-1362.82,0.66,0.138,0.018,0.014,0.003,0.236,0.017,0.044,0.016,0.122,0.06,0.066,0.021,0.069,0.029,0.143,0.041
176,-1431.58,0.54,0.136,0.013,0.017,0.002,0.216,0.016,0.008,0.011,0.117,0.052,0.069,0.011,0.062,0.03,0.022,0.026
batch,perReal1,perReal2,perReal3,perReal4,perReal5,perReal6,perReal7,perReal8,perPredict1,perPredict2,perPredict3,perPredict4,perPredict5,perPredict6,perPredict7,perPredict8,,
0,0.549664104,0.2018828671,0.1350142569,0.0048538069,0.0857976888,0,0.0042154189,0.0185718574,0.4061794924,0.508865503,0.0647965383,0.0042800538,0.2361814827,0.017755221,0.0195576353,0.0019132134,,
1,0.5292389916,0.1940553701,0.1260114764,0.0070699167,0.1187717096,0.0048334364,0.0041847745,0.0158343245,0.391781784,0.4761865447,0.0631863772,0.0044625777,0.2351704039,0.0195765129,0.0183795606,0.0046165005,,
2,0.5958106703,0.205113231,0.1295330329,0.0038313477,0.0370803437,0.0016459444,0.0059225017,0.0210629283,0.4161974103,0.4651214172,0.0623085452,0.0039540873,0.2388569766,0.0160433513,0.0162339644,0.0027884879,,
3,0.4803485724,0.1883407023,0.1240817604,0.0059016995,0.1682197944,0.0142063931,0.0029831254,0.0159179524,0.3951924469,0.4680302342,0.0620735085,0.0035254953,0.2452058919,0.0181595783,0.017853029,0.0038087559,,
4,0.4909173588,0.1962251527,0.1307129141,0.0046557571,0.1442106444,0.0148279287,0.0007311637,0.0177190806,0.3910177757,0.4940220597,0.0627628262,0.0025825568,0.2199297702,0.0191703775,0.0169979217,0.004601541,,
5,0.4965401957,0.1903415601,0.1228398653,0.0056386814,0.1403514844,0.0253215703,0.0034534746,0.0155131682,0.386680769,0.4584872916,0.0665090628,0.0038182878,0.2329445741,0.0170457062,0.0160849182,0.0024595711,,
6,0.4666702988,0.1943191161,0.1310266565,0.0070337258,0.1546026796,0.0192884211,0.0055452198,0.0215138824,0.3933583439,0.4948575471,0.0649348941,0.0045730362,0.2424679089,0.0177207422,0.0170064582,0.0008094919,,
7,0.4650245753,0.1776328002,0.1186059421,0.0078997695,0.2023946041,0.0102208548,0.0010363419,0.0171851121,0.3897831038,0.4398404444,0.0600320746,0.0035527675,0.2414930802,0.0190506116,0.0179752707,0.004691586,,
8,0.5385199429,0.2034662857,0.1399406894,0.0072581027,0.0858706677,0.0049384889,0.0019391051,0.0180667177,0.4073258312,0.5272287993,0.0666516211,0.003103753,0.2310392895,0.016273804,0.0224241083,0.0046543419,,
9,0.5067533309,0.185052173,0.1145393468,0.0036073931,0.1531215047,0.016540159,0.0046580423,0.0157280502,0.3866462099,0.4327227246,0.0602178529,0.0024812206,0.2585871673,0.0179232191,0.018080897,0.0060126899,,
/home/gissella/Documents/Research/Disaggregation/PecanStreet-dataport/VRNN_theano_version/output/allAtOnce/18-06-11_19-48/dp_disall-sch_1_best.pkl,,,,,,,,,,,,,,,,,,
