{0: 0.001}
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1']
{3413: ('2015-01-01', '2016-01-01')}

logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
-1709.548,0.142,0.014,0.013,0.002,0.128,0.013,0.002,0.006,0.185,0.054,0.058,0.015,0.047,0.018,0.004,0.007,0.040,0.049

relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5
-0.160748524563,0.0340441819254,0.105838496032,-0.780006050921,0.306011312221,-0.612539273831,0.777668630402,0.263006864574,0.872644591648,0.96231660624,0.960107717171,0.989961310203,0.967988892654,0.987553449074,0.996917541099,0.995123671356
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
500,500,500,200,200,200
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8
0,475.92,16.75,1.422,1.259,1.119,1.102,1.305,1.124,1.112,1.052,0.937,0.892,0.841,0.833,0.864,0.841,0.839,0.816
10,-726.26,4.97,0.546,0.027,0.021,0.008,0.277,0.050,0.017,0.006,0.396,0.077,0.110,0.055,0.081,0.110,0.066,0.038
20,-388.52,11.65,0.425,0.025,0.015,0.004,0.265,0.032,0.007,0.003,0.423,0.078,0.088,0.026,0.097,0.117,0.048,0.011
31,-883.87,45.09,0.525,0.031,0.021,0.020,0.337,0.018,0.008,0.006,0.389,0.074,0.092,0.071,0.128,0.036,0.033,0.032
41,-1414.50,4.69,0.439,0.023,0.016,0.015,0.351,0.016,0.005,0.006,0.328,0.063,0.083,0.032,0.102,0.030,0.021,0.015
51,-579.11,2.43,0.506,0.022,0.017,0.130,0.740,0.017,0.005,0.007,0.447,0.074,0.085,0.327,0.305,0.033,0.020,0.017
62,-705.90,0.77,0.293,0.018,0.015,0.115,0.357,0.017,0.004,0.006,0.260,0.066,0.082,0.293,0.156,0.032,0.016,0.014
72,-1403.64,1.33,0.165,0.019,0.014,0.046,0.353,0.016,0.003,0.006,0.192,0.059,0.076,0.078,0.102,0.027,0.013,0.014
83,-1333.69,1.48,0.307,0.031,0.013,0.028,0.364,0.016,0.003,0.006,0.303,0.072,0.067,0.051,0.147,0.029,0.016,0.014
93,-1282.08,5.03,0.297,0.018,0.018,0.018,0.316,0.012,0.002,0.004,0.285,0.055,0.093,0.035,0.100,0.022,0.015,0.008
103,-1190.98,8.54,0.239,0.026,0.011,0.013,0.328,0.200,0.002,0.005,0.228,0.063,0.052,0.032,0.106,0.323,0.011,0.009
114,-1126.63,1.96,0.224,0.024,0.019,0.015,0.332,0.076,0.002,0.004,0.350,0.061,0.079,0.043,0.096,0.115,0.009,0.007
124,-1537.37,4.78,0.126,0.016,0.011,0.010,0.241,0.030,0.001,0.003,0.129,0.052,0.059,0.025,0.069,0.046,0.006,0.006
134,-1007.61,8.53,0.149,0.010,0.014,0.007,0.248,0.109,0.002,0.004,0.146,0.050,0.059,0.021,0.070,0.280,0.008,0.008
145,-958.06,6.16,0.123,0.026,0.098,0.004,0.317,0.018,0.002,0.004,0.161,0.094,0.159,0.012,0.151,0.039,0.005,0.007
155,-1149.59,0.93,0.130,0.018,0.019,0.013,0.318,0.017,0.001,0.003,0.126,0.056,0.077,0.023,0.357,0.028,0.004,0.006
166,-926.85,0.76,0.239,0.015,0.017,0.009,0.277,0.018,0.002,0.003,0.278,0.048,0.066,0.016,0.100,0.049,0.004,0.006
176,-1452.34,1.91,0.119,0.013,0.023,0.014,0.205,0.014,0.003,0.006,0.177,0.050,0.094,0.034,0.080,0.022,0.006,0.011
186,-1537.17,1.08,0.167,0.013,0.014,0.012,0.169,0.017,0.002,0.005,0.206,0.056,0.052,0.025,0.070,0.026,0.004,0.007
197,-1545.01,1.36,0.159,0.013,0.012,0.003,0.160,0.014,0.003,0.005,0.207,0.051,0.059,0.012,0.066,0.020,0.008,0.009
