/data/home/gbejara1/Documents/Research/Disaggregation/Dataport/VRNN_theano_version/output/allAtOnce/18-06-14_10-53_3413/dp_disall-sch_1_best.pkl,,,,,,,,,,,,,,,,,,
{0: 0.001},,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1'],,,,,,,,,,,
{3413: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
-2801.47,0.076,0.01,0.035,0,0.096,0.011,0.001,0.002,0.074,0.035,0.128,0.003,0.026,0.011,0.002,0.009,0.029,0.036
,,,,,,,,,,,,,,,,,,
relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5,,,,,,
0.0328995677,-0.0293853101,-0.9378927509,-1.0057083143,-0.1412898304,-inf,-0.968322112,-1.0015578177,0.9499000843,0.9759951494,0.9132723762,0.9979740992,0.9822563941,0.9924595062,0.9988377017,0.9940116652,,,
batch,perReal1,perReal2,perReal3,perReal4,perReal5,perReal6,perReal7,perReal8,perPredict1,perPredict2,perPredict3,perPredict4,perPredict5,perPredict6,perPredict7,perPredict8,,
0,0.3183,0.4725,0.1429,0.0016,0.0411,0.0137,0.0018,0.0082,0.3319,0.4575,0.0096,0.0001,0.0326,0.0001,-0.0003,-0.0002,,
1,0.3290,0.4760,0.1318,0.0022,0.0440,0.0051,0.0016,0.0102,0.3361,0.4608,0.0098,-0.0001,0.0419,-0.0008,0.0006,0.0001,,
2,0.3763,0.4365,0.1332,0.0012,0.0363,0.0077,0.0005,0.0083,0.3833,0.4272,0.0067,-0.0002,0.0337,-0.0010,0.0002,0.0002,,
3,0.3730,0.4114,0.1205,0.0029,0.0634,0.0194,0.0010,0.0084,0.3724,0.4000,0.0067,0.0002,0.0627,-0.0013,0.0000,0.0002,,
4,0.2831,0.4953,0.1410,0.0006,0.0577,0.0109,0.0005,0.0109,0.3042,0.4806,0.0107,0.0000,0.0470,-0.0014,0.0001,0.0003,,
5,0.3457,0.4819,0.1325,0.0014,0.0273,0.0009,0.0008,0.0094,0.3578,0.4664,0.0078,-0.0002,0.0244,-0.0010,0.0001,0.0001,,
6,0.2808,0.4685,0.1352,0.0018,0.0999,0.0046,0.0008,0.0085,0.2940,0.4526,0.0075,0.0001,0.0810,0.0001,0.0000,-0.0005,,
7,0.2887,0.4793,0.1393,0.0032,0.0608,0.0197,0.0010,0.0080,0.2957,0.4686,0.0056,0.0005,0.0489,0.0008,-0.0004,0.0003,,
8,0.3534,0.4622,0.1315,0.0014,0.0407,0.0000,0.0019,0.0090,0.3619,0.4479,0.0126,-0.0002,0.0355,-0.0003,-0.0002,-0.0003,,
9,0.3087,0.4824,0.1378,0.0039,0.0577,0.0000,0.0012,0.0083,0.3266,0.4669,0.0065,0.0002,0.0424,-0.0005,-0.0001,-0.0002,,
AVG,0.3257,0.4666,0.1346,0.0020,0.0529,0.0082,0.0011,0.0089,0.3364,0.4528,0.0084,0.0000,0.0450,-0.0005,0.0000,0.0000,,
