/data/home/gbejara1/Documents/Research/Disaggregation/Dataport/VRNN_theano_version/output/allAtOnce/18-06-14_11-06_8292/dp_disall-sch_1_best.pkl,,,,,,,,,,,,,,,,,,
{0: 0.001},,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1'],,,,,,,,,,,
{8292: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
-2535.781,0.191,0.019,0.011,0.002,0.293,0.018,0.019,0.01,0.093,0.052,0.071,0.008,0.073,0.024,0.018,0.009,0.07,0.044
,,,,,,,,,,,,,,,,,,
relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5,,,,,,
0.0421581877,0.0119265637,-0.5272726952,-0.5287623882,-0.4049133815,-0.8350943872,-0.3877278453,-0.4976310602,0.9548360665,0.9744339186,0.965135544,0.9960335616,0.964540257,0.988094823,0.9912727275,0.9956226315,,,
batch,perReal1,perReal2,perReal3,perReal4,perReal5,perReal6,perReal7,perReal8,perPredict1,perPredict2,perPredict3,perPredict4,perPredict5,perPredict6,perPredict7,perPredict8,,
0,0.5812,0.2285,0.0858,0.0058,0.0599,0.0175,0.0143,0.0070,0.6076,0.2256,0.0411,0.0024,0.0313,0.0034,0.0067,0.0040,,
1,0.5579,0.2191,0.0816,0.0075,0.0859,0.0317,0.0081,0.0082,0.5698,0.2207,0.0367,0.0030,0.0771,0.0047,0.0073,0.0047,,
2,0.5841,0.2111,0.0795,0.0046,0.0803,0.0233,0.0102,0.0068,0.6128,0.2174,0.0368,0.0026,0.0417,0.0030,0.0079,0.0030,,
3,0.5813,0.2161,0.0818,0.0055,0.0658,0.0228,0.0192,0.0073,0.6001,0.2237,0.0392,0.0025,0.0318,0.0030,0.0089,0.0028,,
4,0.5586,0.2076,0.0717,0.0050,0.1232,0.0127,0.0150,0.0061,0.5996,0.2080,0.0354,0.0026,0.0681,0.0028,0.0069,0.0033,,
AVG,0.5726,0.2165,0.0801,0.0057,0.0830,0.0216,0.0134,0.0071,0.5980,0.2191,0.0378,0.0026,0.0500,0.0034,0.0075,0.0036,,
