/data/home/gbejara1/Documents/Research/Disaggregation/Dataport/VRNN_theano_version/output/allAtOnce/18-06-14_11-18_6990/dp_disall-sch_1_best.pkl,,,,,,,,,,,,,,,,,,
{0: 0.01},,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1'],,,,,,,,,,,
{6990: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
-2820.634,0.037,0.17,0.027,0.004,0.034,0.015,0.001,0.015,0.024,0.165,0.106,0.007,0.013,0.01,0.003,0.018,0.038,0.043
,,,,,,,,,,,,,,,,,,
relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5,,,,,,
-0.0097088195,-1.0025680066,-0.9988753583,-0.9651721268,-0.0009590675,-0.7972021937,-0.9283917141,-0.9828004425,0.9827790872,0.8823152363,0.923995171,0.9948692612,0.9905951212,0.9929956538,0.9976445126,0.9873525568,,,
batch,perReal1,perReal2,perReal3,perReal4,perReal5,perReal6,perReal7,perReal8,perPredict1,perPredict2,perPredict3,perPredict4,perPredict5,perPredict6,perPredict7,perPredict8,,
0,0.5081,0.1999,0.1437,0.0039,0.0988,0.0165,0.0082,0.0208,0.5042,0.0795,0.0588,0.0033,0.0986,0.0070,0.0027,0.0088,,
1,0.5546,0.1913,0.1096,0.0035,0.1078,0.0159,0.0038,0.0135,0.5525,0.0762,0.0444,0.0033,0.1047,0.0055,0.0012,0.0063,,
2,0.5085,0.2009,0.1262,0.0093,0.1359,0.0000,0.0015,0.0176,0.5025,0.0763,0.0505,0.0034,0.1347,0.0018,0.0011,0.0078,,
3,0.5427,0.1949,0.1150,0.0051,0.1150,0.0107,0.0021,0.0146,0.5368,0.0802,0.0475,0.0020,0.1223,0.0061,0.0014,0.0057,,
4,0.5159,0.1994,0.1242,0.0099,0.1148,0.0127,0.0031,0.0200,0.5116,0.0805,0.0520,0.0033,0.1135,0.0052,0.0013,0.0068,,
5,0.5337,0.2135,0.1221,0.0048,0.0951,0.0077,0.0052,0.0179,0.5316,0.0801,0.0514,0.0040,0.0934,0.0032,0.0014,0.0076,,
6,0.5168,0.1966,0.1210,0.0060,0.1390,0.0023,0.0011,0.0171,0.5140,0.0771,0.0498,0.0032,0.1349,0.0017,0.0009,0.0074,,
7,0.5268,0.2089,0.1309,0.0050,0.0871,0.0211,0.0007,0.0194,0.5219,0.0822,0.0529,0.0043,0.0942,0.0060,0.0010,0.0081,,
8,0.5340,0.2093,0.1361,0.0041,0.0881,0.0077,0.0031,0.0176,0.5292,0.0837,0.0527,0.0019,0.0884,0.0031,0.0015,0.0075,,
9,0.4597,0.1807,0.1231,0.0094,0.1988,0.0085,0.0022,0.0174,0.4574,0.0684,0.0499,0.0039,0.1944,0.0050,0.0010,0.0070,,
AVG,0.5201,0.1996,0.1252,0.0061,0.1180,0.0103,0.0031,0.0176,0.5162,0.0784,0.0510,0.0032,0.1179,0.0045,0.0013,0.0073,,
,,,,,,,,,,,,,,,,,,
,0.5200916662,0.1995506043,0.1251920978,0.11804794,0.0371176916,,,,0.5161573522,0.0784318925,0.05100335,0.1178991246,0.0163717135,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,0.77,,,,,,,,,,,
