/data/home/gbejara1/Documents/Research/Disaggregation/Dataport/VRNN_theano_version/output/allAtOnce/18-06-14_21-41_7951/dp_disall-sch_1_best.pkl,,,,,,,,,,,,,,,,,,
{0: 0.01},,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1'],,,,,,,,,,,
{7951: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
-2681.052,0.712,0.896,0.032,0.021,0.041,0.015,0.018,0.035,0.257,0.133,0.117,0.03,0.016,0.017,0.02,0.062,0.221,0.081
,,,,,,,,,,,,,,,,,,
relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5,,,,,,
-0.9987528,-1.0303573138,-0.997951891,-0.1992812993,-0.0417234964,-1.0004919112,-1.0233115565,-1.011712669,0.8044547993,0.8978924117,0.9103875857,0.9772387132,0.9880189541,0.9869819279,0.9846346448,0.9522511932,,,
,,,,,,,,,,,,,,,,,,
batch,perReal1,perReal2,perReal3,perReal4,perReal5,perReal6,perReal7,perReal8,perPredict1,perPredict2,perPredict3,perPredict4,perPredict5,perPredict6,perPredict7,perPredict8,,
0,0.3793,0.1764,0.1418,0.1754,0.0263,0.0190,0.0148,0.0671,0.1503,0.0702,0.0589,0.1508,0.0265,0.0048,0.0078,0.0282,,
1,0.3173,0.1636,0.1462,0.1625,0.0906,0.0183,0.0189,0.0826,0.1289,0.0630,0.0631,0.1451,0.0901,0.0047,0.0080,0.0334,,
2,0.3617,0.1460,0.1466,0.1449,0.0941,0.0234,0.0166,0.0667,0.1395,0.0606,0.0619,0.1231,0.0862,0.0052,0.0096,0.0320,,
3,0.3260,0.1818,0.1442,0.1809,0.0662,0.0169,0.0228,0.0612,0.1334,0.0710,0.0613,0.1605,0.0620,0.0052,0.0083,0.0274,,
4,0.3857,0.1552,0.1387,0.1541,0.0550,0.0247,0.0222,0.0644,0.1537,0.0574,0.0598,0.1303,0.0534,0.0047,0.0103,0.0287,,
5,0.3949,0.1435,0.1306,0.1424,0.0891,0.0095,0.0220,0.0681,0.1591,0.0645,0.0523,0.1190,0.0837,0.0030,0.0068,0.0301,,
6,0.2818,0.2063,0.1432,0.2056,0.0675,0.0146,0.0229,0.0581,0.1127,0.0812,0.0594,0.1895,0.0682,0.0045,0.0102,0.0252,,
7,0.3019,0.1765,0.1505,0.1756,0.0778,0.0292,0.0186,0.0699,0.1274,0.0573,0.0640,0.1555,0.0754,0.0067,0.0092,0.0275,,
8,0.2439,0.1794,0.1466,0.1783,0.1237,0.0294,0.0166,0.0821,0.0996,0.0667,0.0620,0.1638,0.1223,0.0091,0.0074,0.0308,,
9,0.3207,0.1752,0.1591,0.1740,0.0545,0.0276,0.0129,0.0760,0.1270,0.0563,0.0673,0.1551,0.0550,0.0074,0.0111,0.0324,,
AVG,0.3313,0.1704,0.1447,0.1694,0.0745,0.0213,0.0188,0.0696,0.1332,0.0648,0.0610,0.1493,0.0723,0.0055,0.0089,0.0296,,
,,,,,,,,,,,,,,,,,,
,0.3313281877,0.1703804328,0.1447332545,0.0744734001,0.2790847249,,,,0.1331654398,0.0648129917,0.0610292885,0.0722705002,0.1932474508,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,0.52,,,,,,,,,,,
