{0: 0.001}
{2859: ('2015-06-25', '2015-11-01')}
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
80,80,60,50,50,60
epoch,log,mse,mae
0,28.2733764807,2.04322673817,1.17121137431
10,-17.9693212232,0.57432939914,0.394151989928
20,-9.15396060357,0.63669096609,0.450727691593
31,-32.2482281979,0.504412281685,0.343302118375
41,-33.543995064,0.541035598683,0.358630682681
51,-32.7526093474,0.547077996872,0.382380386906
62,-14.5980775016,0.499503496797,0.374904539033
72,-33.9881284514,0.533346922305,0.347567226422
82,-39.903334374,0.519094790892,0.335843563624
93,-42.523839346,0.537425199626,0.344306304859
103,-42.7738496966,0.554772433668,0.348768059692
113,-42.1595512458,0.538706079099,0.342250888842
124,-42.7293357076,0.546146582555,0.346258976523
134,-44.9211576298,0.544358863375,0.345834917363
144,-44.488356779,0.575768033841,0.361525523985
155,-47.4961792492,0.519895728789,0.332149653392
165,-41.9381913631,0.530705247099,0.33643293281
175,-45.8684477941,0.517400055183,0.331973030967
186,-48.0617073902,0.50320718647,0.32114788349
196,-47.7940641825,0.523547979519,0.333195913447
200,-49.0721936473,0.521018179833,0.336656050195
