{0: 0.1, 75: 0.01, 150: 0.001}
{2859: ('2015-01-01', '2016-01-01')}
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
80,80,60,50,50,60
epoch,log,mse,mae
0,194.701476599,2.52171935346,1.22177325847
10,nan,nan,nan
20,nan,nan,nan
30,nan,nan,nan
40,nan,nan,nan
50,nan,nan,nan
60,nan,nan,nan
70,nan,nan,nan
80,nan,nan,nan
90,nan,nan,nan
100,nan,nan,nan
110,nan,nan,nan
120,nan,nan,nan
130,nan,nan,nan
140,nan,nan,nan
150,nan,nan,nan
160,nan,nan,nan
170,nan,nan,nan
180,nan,nan,nan
190,nan,nan,nan
200,nan,nan,nan
