{0: 0.001, 75: 0.0001, 150: 1e-05}
{6990: ('2015-01-01', '2016-01-01')}
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
80,80,60,50,50,60
epoch,log,mse,mae
0,19.0605819281,3.12986285519,1.33568733955
10,2.51682156265,1.69603327158,0.599779756188
20,29.9776344251,1.97522513843,0.716912321551
30,-16.3764287814,2.0525576142,0.684301542524
40,-20.5736037234,1.44613577237,0.527372051212
50,-19.2369781864,1.12113342507,0.452550983165
60,-19.985572001,1.12343008584,0.462484693412
70,-22.554636678,1.19152399239,0.44711792697
80,-23.8116575267,0.867084175165,0.358519205097
90,-23.9054989591,0.879222633622,0.365391220432
100,-23.8159120893,0.873924302498,0.364106333571
110,-23.7144205961,0.873310546203,0.363530491533
120,-23.6464638097,0.877438465715,0.365259448453
130,-23.5379432452,0.860691909351,0.360698887804
140,-23.3991788424,0.859977588735,0.360710489019
150,-23.3084021849,0.849163290717,0.357008219044
160,-24.3954709287,0.850366059677,0.356753741036
170,-24.3618043464,0.858402983889,0.359501828666
180,-24.3375953515,0.863102156809,0.360693923744
190,-24.32476977,0.863134385741,0.360660873606
200,-24.3118695413,0.856707662125,0.358918482047
