{0: 0.01, 75: 0.001, 150: 0.0001}
{7951: ('2015-06-01', '2015-11-01')}
logTest,mseTest,maeTest
27.0634041973,0.640926016207,0.449658322537
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,28.4537354679,0.0802035117324,2.07556113435,1.17906156745
9,-14.6061914358,4.34259807136e-05,0.911922219705,0.563167278464
19,-27.0366467237,7.94256734914e-07,0.652730400437,0.400528231401
28,-20.5951555186,8.45837937577e-07,0.558383910091,0.353352285952
38,-22.9933909325,9.50770474607e-07,0.600546197958,0.382625287613
47,-12.5825855607,4.26194978143e-07,1.16697896475,0.681916834399
57,-36.2983520938,0.000109475124471,0.408330028466,0.293021619835
66,-32.0979553392,6.13841227848e-09,0.6952941136,0.40697270144
76,-17.0486898105,8.19447287803e-11,0.696072475721,0.461270051963
86,-42.445008605,2.59345267484e-09,0.569363825468,0.327032699218
95,-48.7324609182,3.80137588074e-10,0.47488441056,0.269587071985
105,-56.9007335594,4.12654066767e-09,0.403830285143,0.229729392259
114,-22.4172573296,2.72349671101e-11,0.692860509536,0.472549392903
124,-54.0485004099,9.15955999942e-09,0.40061437133,0.229229627791
133,-58.6322499207,1.41840403261e-09,0.424839821161,0.24011776573
143,-60.3768891534,7.25360440275e-09,0.416030786255,0.234901641116
153,-49.1994630758,1.30453364391e-09,0.45922858714,0.259843551954
162,-53.4519911685,1.78979286401e-09,0.44548743312,0.249917889458
172,-55.8920883258,1.97659889391e-09,0.441333491933,0.246628354538
181,-58.3246352101,1.8759524807e-09,0.436065770987,0.244034804646
191,-60.7412267732,4.19863834639e-08,0.443060988894,0.24595038154
200,-62.6854342783,3.34515236544e-08,0.442801130755,0.246291330009
