{0: 0.0001, 75: 1e-05, 150: 1e-06}
{7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest
-54.7210145069,2.08434543682,0.872689018812

q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,56.75,0.26,2.088,1.085
10,-2.57,0.07,2.099,0.882
20,-27.95,0.10,2.149,0.876
30,-33.95,0.10,2.115,0.876
40,-36.26,0.10,2.101,0.877
50,-37.75,0.10,2.071,0.873
60,-40.25,0.10,2.061,0.878
70,-40.58,0.10,2.027,0.871
80,-47.31,0.11,2.039,0.871
90,-48.50,0.13,2.044,0.871
100,-50.57,0.14,2.046,0.867
110,-47.52,0.14,2.066,0.875
120,-50.22,0.14,2.062,0.872
130,-50.56,0.14,2.044,0.867
140,-52.32,0.14,2.043,0.870
150,-49.76,0.14,2.068,0.875
160,-54.83,0.15,2.062,0.872
170,-55.65,0.16,2.073,0.873
180,-55.95,0.16,2.041,0.869
190,-56.45,0.16,2.066,0.872
200,-56.65,0.17,2.078,0.872
