{0: 0.001, 75: 0.0001, 150: 1e-05}
{7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest
45.5205004803,1.71832270692,0.869982105951

q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,56.69,0.19,2.090,1.087
10,-19.87,0.03,2.036,0.917
20,-24.45,0.01,2.044,0.890
30,-33.82,0.01,1.994,0.867
40,-31.91,0.01,1.990,0.868
50,8.36,0.01,2.364,0.974
60,6.13,0.01,2.232,0.971
70,-12.24,1.74,1.220,0.658
80,-44.46,2.41,0.930,0.449
90,-58.37,3.40,0.863,0.417
100,-62.49,3.55,0.844,0.398
110,-64.55,3.49,0.841,0.391
120,-68.73,3.46,0.861,0.393
130,-70.51,3.39,0.856,0.389
140,-71.84,3.34,0.855,0.382
150,-73.15,3.21,0.870,0.386
160,-77.14,3.36,0.873,0.385
170,-78.99,3.50,0.861,0.382
180,-80.66,3.53,0.853,0.377
190,-81.62,3.57,0.860,0.378
200,-82.03,3.59,0.848,0.377
