{0: 0.01, 75: 0.001, 150: 0.0001}
{7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest
79.8316536981,2.29950092592,0.958127804651

q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,56.78,0.22,2.097,1.091
10,2.50,0.00,1.583,0.698
20,-50.43,0.00,0.998,0.377
30,-57.34,0.00,0.860,0.356
40,-74.57,0.01,0.840,0.344
50,-69.26,0.00,0.938,0.380
60,-72.92,0.00,1.006,0.417
70,-44.70,0.00,0.916,0.406
80,-55.45,0.00,0.745,0.349
90,-90.56,0.00,0.728,0.318
100,-86.42,0.00,0.749,0.318
110,-98.72,0.00,0.893,0.333
120,-94.84,0.00,0.964,0.347
130,-106.49,0.00,0.953,0.345
140,-110.00,0.00,0.959,0.348
150,-111.66,0.00,0.975,0.352
160,-115.41,0.00,0.965,0.345
170,-117.20,0.00,0.961,0.345
180,-119.14,0.00,0.961,0.342
190,-120.73,0.00,0.940,0.338
200,-120.49,0.00,0.931,0.334
