{0: 0.001, 170: 0.0001}
{2859: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest
-67.4040702693,0.0648607200959,0.0880290770658

q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,28.41,0.46,2.049,1.171
10,-7.51,0.01,0.575,0.391
20,-32.08,0.01,0.548,0.363
30,-33.77,0.02,0.567,0.370
40,-35.69,0.04,0.549,0.359
50,-35.98,0.05,0.540,0.352
60,-35.63,0.08,0.488,0.327
70,-41.60,0.14,0.411,0.280
80,-43.03,0.20,0.361,0.253
90,-45.31,0.23,0.332,0.241
100,-44.92,0.29,0.291,0.221
110,-48.10,0.41,0.173,0.168
120,-51.68,0.40,0.077,0.105
130,-52.07,0.38,0.064,0.096
140,-53.97,0.41,0.064,0.092
150,-52.63,0.42,0.059,0.091
160,-54.41,0.72,0.063,0.093
170,-55.82,0.39,0.061,0.087
180,-65.27,0.36,0.054,0.083
190,-59.56,0.36,0.059,0.085
200,-60.98,0.37,0.054,0.082
210,-61.59,0.37,0.061,0.086
220,-62.18,0.38,0.062,0.084
230,-62.66,0.38,0.059,0.085
240,-62.60,0.39,0.054,0.082
250,-67.71,0.38,0.060,0.085
