{0: 0.001}
{2859: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest
-42.3685442204,0.472329512791,0.314013499743

q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,28.54,1.86,2.137,1.195
10,-15.72,0.00,0.538,0.374
20,-27.98,0.00,0.517,0.349
30,-28.18,0.00,0.507,0.341
40,-26.05,0.00,0.475,0.328
50,-33.41,0.00,0.488,0.330
60,-30.30,0.01,0.479,0.325
70,-34.94,0.00,0.464,0.316
80,-33.52,0.00,0.466,0.318
90,-36.91,0.00,0.463,0.314
100,-35.49,0.01,0.450,0.308
110,-33.65,0.00,0.460,0.311
120,-36.12,0.06,0.638,0.438
130,-27.98,0.02,0.618,0.421
140,-25.73,0.00,0.527,0.367
150,-1.21,0.00,0.558,0.382
160,-39.32,0.00,0.444,0.301
170,-24.29,0.00,0.450,0.312
180,3.43,0.02,0.552,0.417
190,-30.66,0.23,0.437,0.301
200,-42.64,0.00,0.459,0.308
