{0: 0.0001}
{2859: ('2015-01-01', '2016-01-01'), 8292: ('2015-01-01', '2016-01-01'), 3413: ('2015-01-01', '2016-01-01'), 6990: ('2015-01-01', '2016-01-01'), 7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest, mseTestUnNorm, maeTestUnNorm
-3.63779096358,2.04109566634,0.729093517471,8.73031993434,1.50787949751
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,112.70,1.38,2.098,1.028
10,5.77,0.27,2.375,0.651
20,1.75,0.29,2.129,0.655
30,-11.79,0.36,2.083,0.642
40,-29.70,0.29,2.011,0.632
50,-41.41,1.09,1.996,0.668
60,-41.95,0.25,1.994,0.688
70,-1.65,0.24,1.978,0.680
80,-29.09,0.26,1.905,0.667
90,0.68,0.23,1.887,0.685
100,-25.71,0.20,1.900,0.695
110,16.61,0.17,1.937,0.684
120,-30.32,0.18,1.947,0.707
130,-45.64,0.16,1.931,0.712
140,-38.29,0.15,1.914,0.712
150,-37.62,0.19,1.959,0.720
160,-46.08,0.19,1.923,0.714
170,-25.37,0.16,1.968,0.720
180,-46.67,0.17,1.939,0.711
190,-40.09,0.46,1.932,0.687
200,-11.98,0.12,1.947,0.708
