{0: 0.001, 100: 0.0001}
{2859: ('2015-01-01', '2016-01-01'), 8292: ('2015-01-01', '2016-01-01'), 3413: ('2015-01-01', '2016-01-01'), 6990: ('2015-01-01', '2016-01-01'), 7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest, mseTestUnNorm, maeTestUnNorm
-102.651445129,1.33853458413,0.61740490748,5.91622653087,1.29800891762
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,110.44,1.81,2.030,1.016
6,31.75,0.05,1.716,0.696
12,-16.56,0.06,1.886,0.687
18,-28.04,0.04,1.937,0.750
24,3.37,0.07,1.185,0.403
30,-21.81,0.16,1.496,0.638
36,-0.58,0.02,1.472,0.587
42,-94.12,0.01,1.405,0.586
48,-20.48,0.05,1.292,0.599
54,-29.90,0.01,1.164,0.503
60,-55.56,0.08,1.107,0.525
66,-12.08,0.04,1.208,0.548
72,-50.97,0.01,0.890,0.387
78,-57.23,0.01,0.918,0.412
84,-47.68,0.02,0.870,0.398
90,-18.96,0.31,1.228,0.615
96,-47.43,0.00,1.064,0.515
102,-63.20,0.00,1.032,0.485
108,-89.99,0.00,1.051,0.509
114,-98.27,0.00,1.119,0.533
120,-98.22,0.00,1.189,0.561
126,-92.06,0.00,1.211,0.573
132,-98.87,0.00,1.224,0.583
138,-94.84,0.00,1.271,0.601
144,-68.24,0.00,1.269,0.613
150,-105.88,0.00,1.309,0.609
156,-114.07,0.00,1.273,0.602
162,-118.19,0.00,1.291,0.608
168,-100.12,0.00,1.284,0.613
174,-114.22,0.00,1.312,0.619
180,-110.82,0.00,1.329,0.627
186,-102.89,0.00,1.295,0.619
192,-119.64,0.00,1.315,0.621
198,-98.60,0.00,1.284,0.602
200,-110.40,0.00,1.308,0.609
