{2859: ('2015-01-01', '2016-01-01'), 8292: ('2015-01-01', '2016-01-01'), 3413: ('2015-01-01', '2016-01-01'), 6990: ('2015-01-01', '2016-01-01'), 7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest, mseTestUnNorm, maeTestUnNorm
-10.0164559836,0.187133682952,0.22465370544
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,60.38,1.50,1.167,0.861
10,-49.46,0.01,0.205,0.265
20,-79.15,0.01,0.231,0.282
30,12.30,0.03,0.316,0.384
40,-63.82,0.01,0.197,0.240
50,-1.63,0.02,0.188,0.229
